Time(s),Phase,Progress,WinnerIndex,Force_F0,Force_F1,Force_F2,Force_F3,Force_F4,Fatigue_F0,Fatigue_F1,Fatigue_F2,Fatigue_F3,Fatigue_F4,P3_Accuracy
0.10,0,-1.000,-1,0.26,0.09,0.24,0.42,0.45,NaN,NaN,NaN,NaN,NaN,NaN
0.18,0,-1.000,-1,0.25,0.13,0.26,0.42,0.42,NaN,NaN,NaN,NaN,NaN,NaN
0.27,0,-1.000,-1,0.24,0.12,0.26,0.44,0.45,NaN,NaN,NaN,NaN,NaN,NaN
0.37,0,-1.000,-1,0.23,0.14,0.25,0.33,0.45,NaN,NaN,NaN,NaN,NaN,NaN
0.44,0,-1.000,-1,0.21,0.13,0.31,0.42,0.48,NaN,NaN,NaN,NaN,NaN,NaN
0.54,0,-1.000,-1,0.23,0.09,0.23,0.37,0.47,NaN,NaN,NaN,NaN,NaN,NaN
0.63,0,-1.000,-1,0.22,0.08,0.28,0.37,0.44,NaN,NaN,NaN,NaN,NaN,NaN
0.72,0,-1.000,-1,0.22,0.07,0.29,0.36,0.44,NaN,NaN,NaN,NaN,NaN,NaN
0.81,0,-1.000,-1,0.21,0.07,0.26,0.36,0.43,NaN,NaN,NaN,NaN,NaN,NaN
0.90,0,-1.000,-1,0.21,0.07,0.23,0.36,0.44,NaN,NaN,NaN,NaN,NaN,NaN
0.99,0,-1.000,-1,0.21,0.04,0.23,0.40,0.44,NaN,NaN,NaN,NaN,NaN,NaN
1.08,0,-1.000,-1,0.21,0.01,0.21,0.36,0.40,NaN,NaN,NaN,NaN,NaN,NaN
1.17,0,-1.000,-1,0.21,0.03,0.21,0.35,0.42,NaN,NaN,NaN,NaN,NaN,NaN
1.26,0,-1.000,-1,0.22,0.02,0.21,0.35,0.39,NaN,NaN,NaN,NaN,NaN,NaN
1.35,0,-1.000,-1,0.21,0.01,0.21,0.36,0.40,NaN,NaN,NaN,NaN,NaN,NaN
1.44,0,-1.000,-1,0.21,0.01,0.21,0.35,0.39,NaN,NaN,NaN,NaN,NaN,NaN
1.54,0,-1.000,-1,0.21,0.03,0.21,0.36,0.41,NaN,NaN,NaN,NaN,NaN,NaN
1.63,0,-1.000,-1,0.21,0.02,0.22,0.35,0.43,NaN,NaN,NaN,NaN,NaN,NaN
1.72,0,-1.000,-1,0.21,0.03,0.23,0.36,0.40,NaN,NaN,NaN,NaN,NaN,NaN
1.80,0,-1.000,-1,0.21,0.02,0.21,0.36,0.44,NaN,NaN,NaN,NaN,NaN,NaN
1.89,0,-1.000,-1,0.20,0.02,0.23,0.36,0.43,NaN,NaN,NaN,NaN,NaN,NaN
1.98,0,-1.000,-1,0.22,0.03,0.23,0.36,0.43,NaN,NaN,NaN,NaN,NaN,NaN
2.07,0,-1.000,-1,0.22,0.03,0.23,0.36,0.43,NaN,NaN,NaN,NaN,NaN,NaN
2.16,0,-1.000,-1,0.22,0.03,0.23,0.36,0.40,NaN,NaN,NaN,NaN,NaN,NaN
2.25,0,-1.000,-1,0.22,0.03,0.23,0.36,0.38,NaN,NaN,NaN,NaN,NaN,NaN
2.33,0,-1.000,-1,0.22,0.03,0.22,0.36,0.35,NaN,NaN,NaN,NaN,NaN,NaN
2.42,0,-1.000,-1,0.22,0.04,0.23,0.36,0.38,NaN,NaN,NaN,NaN,NaN,NaN
2.51,0,-1.000,-1,0.21,0.03,0.24,0.36,0.37,NaN,NaN,NaN,NaN,NaN,NaN
2.61,0,-1.000,-1,0.21,0.03,0.24,0.35,0.33,NaN,NaN,NaN,NaN,NaN,NaN
2.70,0,-1.000,-1,0.23,0.03,0.22,0.36,0.36,NaN,NaN,NaN,NaN,NaN,NaN
2.79,0,-1.000,-1,0.22,0.02,0.22,0.35,0.31,NaN,NaN,NaN,NaN,NaN,NaN
2.88,0,-1.000,-1,0.24,0.03,0.22,0.36,0.31,NaN,NaN,NaN,NaN,NaN,NaN
2.95,0,-1.000,-1,0.22,0.04,0.22,0.34,0.28,NaN,NaN,NaN,NaN,NaN,NaN
3.04,0,-1.000,-1,0.23,0.04,0.25,0.35,0.31,NaN,NaN,NaN,NaN,NaN,NaN
3.13,0,-1.000,-1,0.23,0.05,0.27,0.35,0.31,NaN,NaN,NaN,NaN,NaN,NaN
3.23,0,-1.000,-1,0.23,0.06,0.27,0.35,0.31,NaN,NaN,NaN,NaN,NaN,NaN
3.32,0,-1.000,-1,0.23,0.06,0.28,0.36,0.32,NaN,NaN,NaN,NaN,NaN,NaN
3.41,0,-1.000,-1,0.22,0.06,0.24,0.35,0.32,NaN,NaN,NaN,NaN,NaN,NaN
3.50,0,-1.000,-1,0.22,0.06,0.25,0.35,0.33,NaN,NaN,NaN,NaN,NaN,NaN
3.58,0,-1.000,-1,0.22,0.06,0.26,0.34,0.35,NaN,NaN,NaN,NaN,NaN,NaN
3.67,0,-1.000,-1,0.23,0.05,0.30,0.41,0.36,NaN,NaN,NaN,NaN,NaN,NaN
3.75,0,-1.000,-1,0.22,0.03,0.29,0.37,0.32,NaN,NaN,NaN,NaN,NaN,NaN
3.84,0,-1.000,-1,0.23,0.04,0.25,0.34,0.33,NaN,NaN,NaN,NaN,NaN,NaN
3.91,0,-1.000,-1,0.24,0.05,0.25,0.33,0.29,NaN,NaN,NaN,NaN,NaN,NaN
4.01,0,-1.000,-1,0.24,0.04,0.19,0.26,0.24,NaN,NaN,NaN,NaN,NaN,NaN
4.10,0,-1.000,-1,0.24,0.04,0.19,0.27,0.25,NaN,NaN,NaN,NaN,NaN,NaN
4.17,0,-1.000,-1,0.24,0.05,0.19,0.28,0.25,NaN,NaN,NaN,NaN,NaN,NaN
4.27,0,-1.000,-1,0.23,0.05,0.19,0.28,0.24,NaN,NaN,NaN,NaN,NaN,NaN
4.34,0,-1.000,-1,0.24,0.06,0.19,0.29,0.25,NaN,NaN,NaN,NaN,NaN,NaN
4.43,0,-1.000,-1,0.22,0.06,0.20,0.31,0.24,NaN,NaN,NaN,NaN,NaN,NaN
4.53,0,-1.000,-1,0.23,0.06,0.22,0.29,0.21,NaN,NaN,NaN,NaN,NaN,NaN
4.60,0,-1.000,-1,0.23,0.06,0.21,0.28,0.22,NaN,NaN,NaN,NaN,NaN,NaN
4.69,0,-1.000,-1,0.23,0.06,0.20,0.26,0.21,NaN,NaN,NaN,NaN,NaN,NaN
4.79,0,-1.000,-1,0.23,0.06,0.20,0.28,0.23,NaN,NaN,NaN,NaN,NaN,NaN
4.86,0,-1.000,-1,0.24,0.08,0.19,0.26,0.21,NaN,NaN,NaN,NaN,NaN,NaN
4.93,0,-1.000,-1,0.22,0.06,0.20,0.26,0.23,NaN,NaN,NaN,NaN,NaN,NaN
5.00,0,-1.000,-1,0.22,0.06,0.20,0.29,0.24,NaN,NaN,NaN,NaN,NaN,NaN
5.10,0,-1.000,-1,0.22,0.07,0.21,0.31,0.25,NaN,NaN,NaN,NaN,NaN,NaN
5.17,0,-1.000,-1,0.21,0.06,0.25,0.31,0.25,NaN,NaN,NaN,NaN,NaN,NaN
5.24,0,-1.000,-1,0.22,0.06,0.24,0.31,0.25,NaN,NaN,NaN,NaN,NaN,NaN
5.34,0,-1.000,-1,0.22,0.07,0.24,0.31,0.24,NaN,NaN,NaN,NaN,NaN,NaN
5.42,0,-1.000,-1,0.22,0.07,0.24,0.31,0.26,NaN,NaN,NaN,NaN,NaN,NaN
5.51,0,-1.000,-1,0.22,0.06,0.24,0.31,0.26,NaN,NaN,NaN,NaN,NaN,NaN
5.58,0,-1.000,-1,0.22,0.07,0.25,0.31,0.25,NaN,NaN,NaN,NaN,NaN,NaN
5.65,0,-1.000,-1,0.21,0.10,0.26,0.31,0.29,NaN,NaN,NaN,NaN,NaN,NaN
5.75,0,-1.000,-1,0.22,0.08,0.27,0.31,0.26,NaN,NaN,NaN,NaN,NaN,NaN
5.84,0,-1.000,-1,0.22,0.08,0.25,0.31,0.26,NaN,NaN,NaN,NaN,NaN,NaN
5.91,0,-1.000,-1,0.22,0.09,0.26,0.31,0.27,NaN,NaN,NaN,NaN,NaN,NaN
5.98,0,-1.000,-1,0.22,0.09,0.28,0.31,0.27,NaN,NaN,NaN,NaN,NaN,NaN
6.08,0,-1.000,-1,0.22,0.11,0.26,0.31,0.28,NaN,NaN,NaN,NaN,NaN,NaN
6.15,0,-1.000,-1,0.21,0.09,0.25,0.31,0.27,NaN,NaN,NaN,NaN,NaN,NaN
6.24,0,-1.000,-1,0.22,0.10,0.28,0.31,0.28,NaN,NaN,NaN,NaN,NaN,NaN
6.33,0,-1.000,-1,0.22,0.09,0.27,0.31,0.29,NaN,NaN,NaN,NaN,NaN,NaN
6.42,0,-1.000,-1,0.22,0.08,0.26,0.31,0.27,NaN,NaN,NaN,NaN,NaN,NaN
6.52,0,-1.000,-1,0.22,0.08,0.26,0.31,0.30,NaN,NaN,NaN,NaN,NaN,NaN
6.61,0,-1.000,-1,0.21,0.06,0.25,0.30,0.28,NaN,NaN,NaN,NaN,NaN,NaN
6.68,0,-1.000,-1,0.21,0.08,0.15,0.24,0.21,NaN,NaN,NaN,NaN,NaN,NaN
6.75,0,-1.000,-1,0.23,0.10,0.16,0.25,0.19,NaN,NaN,NaN,NaN,NaN,NaN
