Time(s),Phase,Progress,WinnerIndex,Force_F0,Force_F1,Force_F2,Force_F3,Force_F4,Fatigue_F0,Fatigue_F1,Fatigue_F2,Fatigue_F3,Fatigue_F4,P3_Accuracy
0.18,0,-1.000,-1,0.00,0.31,0.14,0.19,0.19,NaN,NaN,NaN,NaN,NaN,NaN
0.26,0,-1.000,-1,0.00,0.33,0.13,0.16,0.16,NaN,NaN,NaN,NaN,NaN,NaN
0.35,0,-1.000,-1,0.00,0.35,0.10,0.06,0.14,NaN,NaN,NaN,NaN,NaN,NaN
0.43,0,-1.000,-1,0.00,0.35,0.13,0.08,0.16,NaN,NaN,NaN,NaN,NaN,NaN
0.52,0,-1.000,-1,0.00,0.33,0.17,0.15,0.18,NaN,NaN,NaN,NaN,NaN,NaN
0.62,0,-1.000,-1,0.00,0.32,0.19,0.17,0.18,NaN,NaN,NaN,NaN,NaN,NaN
0.72,0,-1.000,-1,0.01,0.32,0.20,0.24,0.19,NaN,NaN,NaN,NaN,NaN,NaN
0.81,0,-1.000,-1,0.00,0.33,0.23,0.24,0.18,NaN,NaN,NaN,NaN,NaN,NaN
0.91,0,-1.000,-1,0.00,0.34,0.18,0.16,0.13,NaN,NaN,NaN,NaN,NaN,NaN
1.00,0,-1.000,-1,0.01,0.33,0.18,0.13,0.13,NaN,NaN,NaN,NaN,NaN,NaN
1.10,0,-1.000,-1,0.01,0.33,0.17,0.11,0.18,NaN,NaN,NaN,NaN,NaN,NaN
1.20,0,-1.000,-1,0.00,0.32,0.16,0.11,0.20,NaN,NaN,NaN,NaN,NaN,NaN
1.27,0,-1.000,-1,0.00,0.32,0.16,0.11,0.19,NaN,NaN,NaN,NaN,NaN,NaN
1.36,0,-1.000,-1,0.00,0.33,0.17,0.11,0.19,NaN,NaN,NaN,NaN,NaN,NaN
1.45,0,-1.000,-1,0.00,0.33,0.19,0.11,0.19,NaN,NaN,NaN,NaN,NaN,NaN
1.55,0,-1.000,-1,0.00,0.32,0.16,0.11,0.19,NaN,NaN,NaN,NaN,NaN,NaN
1.62,0,-1.000,-1,0.00,0.31,0.15,0.11,0.20,NaN,NaN,NaN,NaN,NaN,NaN
1.71,0,-1.000,-1,0.00,0.31,0.15,0.12,0.21,NaN,NaN,NaN,NaN,NaN,NaN
1.82,0,-1.000,-1,0.00,0.30,0.13,0.11,0.19,NaN,NaN,NaN,NaN,NaN,NaN
1.92,0,-1.000,-1,0.00,0.28,0.13,0.13,0.19,NaN,NaN,NaN,NaN,NaN,NaN
2.01,0,-1.000,-1,0.01,0.28,0.12,0.13,0.19,NaN,NaN,NaN,NaN,NaN,NaN
2.11,0,-1.000,-1,0.00,0.26,0.13,0.12,0.19,NaN,NaN,NaN,NaN,NaN,NaN
2.22,0,-1.000,-1,0.01,0.27,0.12,0.12,0.18,NaN,NaN,NaN,NaN,NaN,NaN
2.34,0,-1.000,-1,0.00,0.27,0.12,0.12,0.18,NaN,NaN,NaN,NaN,NaN,NaN
2.44,0,-1.000,-1,0.01,0.27,0.10,0.11,0.18,NaN,NaN,NaN,NaN,NaN,NaN
2.54,0,-1.000,-1,0.01,0.27,0.10,0.10,0.18,NaN,NaN,NaN,NaN,NaN,NaN
2.64,0,-1.000,-1,0.00,0.26,0.07,0.08,0.18,NaN,NaN,NaN,NaN,NaN,NaN
2.71,0,-1.000,-1,0.01,0.26,0.06,0.06,0.17,NaN,NaN,NaN,NaN,NaN,NaN
2.81,0,-1.000,-1,0.01,0.23,0.06,0.06,0.17,NaN,NaN,NaN,NaN,NaN,NaN
2.91,0,-1.000,-1,0.00,0.25,0.06,0.08,0.17,NaN,NaN,NaN,NaN,NaN,NaN
3.00,0,-1.000,-1,0.00,0.23,0.07,0.08,0.17,NaN,NaN,NaN,NaN,NaN,NaN
3.10,0,-1.000,-1,0.00,0.23,0.08,0.08,0.17,NaN,NaN,NaN,NaN,NaN,NaN
3.20,0,-1.000,-1,0.01,0.23,0.07,0.08,0.17,NaN,NaN,NaN,NaN,NaN,NaN
3.28,0,-1.000,-1,0.00,0.22,0.08,0.09,0.17,NaN,NaN,NaN,NaN,NaN,NaN
3.38,0,-1.000,-1,0.00,0.22,0.08,0.09,0.17,NaN,NaN,NaN,NaN,NaN,NaN
3.48,0,-1.000,-1,0.01,0.22,0.08,0.09,0.17,NaN,NaN,NaN,NaN,NaN,NaN
3.57,0,-1.000,-1,0.01,0.22,0.07,0.09,0.17,NaN,NaN,NaN,NaN,NaN,NaN
3.67,0,-1.000,-1,0.01,0.07,0.06,0.07,0.17,NaN,NaN,NaN,NaN,NaN,NaN
3.77,0,-1.000,-1,0.00,0.16,0.05,0.05,0.16,NaN,NaN,NaN,NaN,NaN,NaN
3.84,0,-1.000,-1,0.01,0.31,0.07,0.06,0.16,NaN,NaN,NaN,NaN,NaN,NaN
3.94,0,-1.000,-1,0.00,0.44,0.06,0.06,0.14,NaN,NaN,NaN,NaN,NaN,NaN
4.01,0,-1.000,-1,0.01,0.42,0.05,0.06,0.14,NaN,NaN,NaN,NaN,NaN,NaN
4.10,0,-1.000,-1,0.01,0.23,0.06,0.06,0.12,NaN,NaN,NaN,NaN,NaN,NaN
4.18,0,-1.000,-1,0.00,0.01,0.04,0.04,0.11,NaN,NaN,NaN,NaN,NaN,NaN
