Time(s),Phase,Progress,WinnerIndex,Force_F0,Force_F1,Force_F2,Force_F3,Force_F4,Fatigue_F0,Fatigue_F1,Fatigue_F2,Fatigue_F3,Fatigue_F4,P3_Accuracy
0.13,0,-1.000,-1,0.04,0.06,0.01,0.10,0.00,NaN,NaN,NaN,NaN,NaN,NaN
0.20,0,-1.000,-1,0.04,0.07,0.01,0.09,0.02,NaN,NaN,NaN,NaN,NaN,NaN
0.29,0,-1.000,-1,0.01,0.05,0.02,0.09,0.02,NaN,NaN,NaN,NaN,NaN,NaN
0.38,0,-1.000,-1,0.02,0.05,0.06,0.11,0.00,NaN,NaN,NaN,NaN,NaN,NaN
0.47,0,-1.000,-1,0.00,0.04,0.05,0.12,0.00,NaN,NaN,NaN,NaN,NaN,NaN
0.56,0,-1.000,-1,0.03,0.03,0.06,0.14,0.02,NaN,NaN,NaN,NaN,NaN,NaN
0.63,0,-1.000,-1,0.02,0.02,0.08,0.13,0.01,NaN,NaN,NaN,NaN,NaN,NaN
0.72,0,-1.000,-1,0.02,0.03,0.07,0.14,0.02,NaN,NaN,NaN,NaN,NaN,NaN
0.81,0,-1.000,-1,0.01,0.04,0.08,0.15,0.01,NaN,NaN,NaN,NaN,NaN,NaN
0.91,0,-1.000,-1,0.02,0.03,0.08,0.16,0.04,NaN,NaN,NaN,NaN,NaN,NaN
1.00,0,-1.000,-1,0.02,0.02,0.10,0.15,0.00,NaN,NaN,NaN,NaN,NaN,NaN
1.09,0,-1.000,-1,0.02,0.03,0.07,0.15,0.03,NaN,NaN,NaN,NaN,NaN,NaN
1.18,0,-1.000,-1,0.02,0.05,0.09,0.15,0.02,NaN,NaN,NaN,NaN,NaN,NaN
1.27,0,-1.000,-1,0.02,0.03,0.09,0.15,0.03,NaN,NaN,NaN,NaN,NaN,NaN
1.37,0,-1.000,-1,0.02,0.03,0.09,0.16,0.05,NaN,NaN,NaN,NaN,NaN,NaN
1.46,0,-1.000,-1,0.02,0.04,0.09,0.15,0.01,NaN,NaN,NaN,NaN,NaN,NaN
1.54,0,-1.000,-1,0.01,0.04,0.09,0.15,0.03,NaN,NaN,NaN,NaN,NaN,NaN
1.63,0,-1.000,-1,0.01,0.04,0.09,0.16,0.00,NaN,NaN,NaN,NaN,NaN,NaN
1.73,0,-1.000,-1,0.00,0.03,0.09,0.16,0.02,NaN,NaN,NaN,NaN,NaN,NaN
1.80,0,-1.000,-1,0.00,0.02,0.10,0.15,0.03,NaN,NaN,NaN,NaN,NaN,NaN
1.88,0,-1.000,-1,0.00,0.03,0.10,0.16,0.01,NaN,NaN,NaN,NaN,NaN,NaN
1.95,0,-1.000,-1,0.00,0.03,0.10,0.15,0.01,NaN,NaN,NaN,NaN,NaN,NaN
2.03,0,-1.000,-1,0.00,0.02,0.10,0.16,0.03,NaN,NaN,NaN,NaN,NaN,NaN
2.10,0,-1.000,-1,0.02,0.02,0.11,0.15,0.02,NaN,NaN,NaN,NaN,NaN,NaN
2.17,0,-1.000,-1,0.00,0.01,0.11,0.16,0.01,NaN,NaN,NaN,NaN,NaN,NaN
2.26,0,-1.000,-1,0.00,0.01,0.10,0.15,0.03,NaN,NaN,NaN,NaN,NaN,NaN
