Time(s),Phase,Progress,WinnerIndex,Force_F0,Force_F1,Force_F2,Force_F3,Force_F4,Fatigue_F0,Fatigue_F1,Fatigue_F2,Fatigue_F3,Fatigue_F4,P3_Accuracy
0.09,0,-1.000,-1,0.08,0.03,0.07,0.03,0.06,NaN,NaN,NaN,NaN,NaN,NaN
0.16,0,-1.000,-1,0.06,0.02,0.08,0.03,0.01,NaN,NaN,NaN,NaN,NaN,NaN
0.24,0,-1.000,-1,0.06,0.01,0.05,0.02,0.01,NaN,NaN,NaN,NaN,NaN,NaN
0.31,0,-1.000,-1,0.12,0.05,0.06,0.05,0.04,NaN,NaN,NaN,NaN,NaN,NaN
0.38,0,-1.000,-1,0.10,0.04,0.07,0.05,0.05,NaN,NaN,NaN,NaN,NaN,NaN
0.46,0,-1.000,-1,0.27,0.01,0.06,0.01,0.00,NaN,NaN,NaN,NaN,NaN,NaN
0.53,0,-1.000,-1,0.02,0.01,0.06,0.03,0.12,NaN,NaN,NaN,NaN,NaN,NaN
0.63,0,-1.000,-1,0.06,0.02,0.08,0.06,0.06,NaN,NaN,NaN,NaN,NaN,NaN
0.72,0,-1.000,-1,0.05,0.04,0.05,0.11,0.04,NaN,NaN,NaN,NaN,NaN,NaN
0.79,0,-1.000,-1,0.06,0.06,0.09,0.00,0.02,NaN,NaN,NaN,NaN,NaN,NaN
0.88,0,-1.000,-1,0.18,0.04,0.07,0.04,0.04,NaN,NaN,NaN,NaN,NaN,NaN
0.98,0,-1.000,-1,0.05,0.16,0.05,0.08,0.01,NaN,NaN,NaN,NaN,NaN,NaN
1.05,0,-1.000,-1,0.06,0.09,0.03,0.04,0.07,NaN,NaN,NaN,NaN,NaN,NaN
1.14,0,-1.000,-1,0.06,0.09,0.06,0.06,0.05,NaN,NaN,NaN,NaN,NaN,NaN
1.24,0,-1.000,-1,0.16,0.06,0.06,0.10,0.01,NaN,NaN,NaN,NaN,NaN,NaN
1.33,0,-1.000,-1,0.07,0.01,0.01,0.16,0.13,NaN,NaN,NaN,NaN,NaN,NaN
1.42,0,-1.000,-1,0.03,0.01,0.04,0.19,0.28,NaN,NaN,NaN,NaN,NaN,NaN
1.50,0,-1.000,-1,0.05,0.01,0.02,0.10,0.29,NaN,NaN,NaN,NaN,NaN,NaN
1.59,0,-1.000,-1,0.06,0.06,0.09,0.01,0.22,NaN,NaN,NaN,NaN,NaN,NaN
1.66,0,-1.000,-1,0.04,0.02,0.08,0.02,0.19,NaN,NaN,NaN,NaN,NaN,NaN
1.73,0,-1.000,-1,0.05,0.04,0.06,0.03,0.21,NaN,NaN,NaN,NaN,NaN,NaN
1.81,0,-1.000,-1,0.06,0.03,0.06,0.06,0.24,NaN,NaN,NaN,NaN,NaN,NaN
1.90,0,-1.000,-1,0.02,0.07,0.07,0.07,0.20,NaN,NaN,NaN,NaN,NaN,NaN
2.00,0,-1.000,-1,0.06,0.02,0.07,0.06,0.18,NaN,NaN,NaN,NaN,NaN,NaN
2.09,0,-1.000,-1,0.07,0.06,0.05,0.07,0.30,NaN,NaN,NaN,NaN,NaN,NaN
2.16,0,-1.000,-1,0.06,0.02,0.05,0.05,0.33,NaN,NaN,NaN,NaN,NaN,NaN
2.24,0,-1.000,-1,0.05,0.01,0.06,0.04,0.29,NaN,NaN,NaN,NaN,NaN,NaN
2.31,0,-1.000,-1,0.06,0.02,0.05,0.04,0.49,NaN,NaN,NaN,NaN,NaN,NaN
2.40,0,-0.999,-1,0.05,0.06,0.05,0.04,0.73,NaN,NaN,NaN,NaN,NaN,NaN
2.48,0,-0.998,-1,0.05,0.05,0.06,0.03,0.99,NaN,NaN,NaN,NaN,NaN,NaN
2.55,0,-0.997,-1,0.05,0.05,0.04,0.04,0.64,NaN,NaN,NaN,NaN,NaN,NaN
2.65,0,-0.995,-1,0.04,0.03,0.05,0.02,0.93,NaN,NaN,NaN,NaN,NaN,NaN
2.72,0,-0.994,-1,0.05,0.03,0.06,0.03,0.99,NaN,NaN,NaN,NaN,NaN,NaN
2.79,0,-0.993,-1,0.05,0.05,0.05,0.03,1.07,NaN,NaN,NaN,NaN,NaN,NaN
2.86,0,-0.992,-1,0.04,0.04,0.05,0.03,1.33,NaN,NaN,NaN,NaN,NaN,NaN
2.94,0,-0.990,-1,0.04,0.03,0.05,0.03,1.45,NaN,NaN,NaN,NaN,NaN,NaN
3.01,0,-0.989,-1,0.05,0.03,0.05,0.03,1.36,NaN,NaN,NaN,NaN,NaN,NaN
3.08,0,-0.988,-1,0.03,0.03,0.05,0.03,1.39,NaN,NaN,NaN,NaN,NaN,NaN
