Time(s),Phase,Progress,WinnerIndex,Force_F0,Force_F1,Force_F2,Force_F3,Force_F4,Fatigue_F0,Fatigue_F1,Fatigue_F2,Fatigue_F3,Fatigue_F4,P3_Accuracy
0.25,0,-1.000,-1,0.01,0.02,0.01,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN
0.41,0,-1.000,-1,0.01,0.02,0.01,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN
0.49,0,-1.000,-1,0.01,0.02,0.02,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN
0.57,0,-1.000,-1,0.01,0.02,0.02,0.00,0.01,NaN,NaN,NaN,NaN,NaN,NaN
0.64,0,-1.000,-1,0.01,0.02,0.02,0.00,0.01,NaN,NaN,NaN,NaN,NaN,NaN
0.72,0,-1.000,-1,0.01,0.03,0.01,0.00,0.01,NaN,NaN,NaN,NaN,NaN,NaN
0.79,0,-1.000,-1,0.01,0.03,0.02,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN
0.88,0,-1.000,-1,0.00,0.02,0.01,0.01,0.00,NaN,NaN,NaN,NaN,NaN,NaN
0.98,0,-1.000,-1,0.01,0.02,0.02,0.01,0.00,NaN,NaN,NaN,NaN,NaN,NaN
1.08,0,-1.000,-1,0.01,0.02,0.02,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN
1.18,0,-1.000,-1,0.01,0.02,0.01,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN
1.27,0,-1.000,-1,0.01,0.03,0.02,0.01,0.00,NaN,NaN,NaN,NaN,NaN,NaN
1.37,0,-1.000,-1,0.01,0.02,0.01,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN
1.46,0,-1.000,-1,0.00,0.02,0.01,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN
1.55,0,-1.000,-1,0.01,0.02,0.02,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN
1.65,0,-1.000,-1,0.00,0.02,0.01,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN
1.75,0,-1.000,-1,0.01,0.02,0.02,0.01,0.00,NaN,NaN,NaN,NaN,NaN,NaN
1.85,0,-1.000,-1,0.01,0.02,0.01,0.01,0.00,NaN,NaN,NaN,NaN,NaN,NaN
2.09,0,-1.000,-1,0.00,0.02,0.02,0.01,0.01,NaN,NaN,NaN,NaN,NaN,NaN
2.18,0,-1.000,-1,0.02,0.02,0.02,0.01,0.01,NaN,NaN,NaN,NaN,NaN,NaN
2.25,0,-1.000,-1,0.01,0.02,0.02,0.01,0.00,NaN,NaN,NaN,NaN,NaN,NaN
2.36,0,-1.000,-1,0.01,0.02,0.02,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN
2.46,0,-1.000,-1,0.01,0.02,0.02,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN
2.56,0,-1.000,-1,0.01,0.03,0.01,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN
2.65,0,-1.000,-1,0.01,0.01,0.02,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN
2.75,0,-1.000,-1,0.01,0.02,0.01,0.01,0.00,NaN,NaN,NaN,NaN,NaN,NaN
2.84,0,-1.000,-1,0.01,0.03,0.01,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN
2.91,0,-1.000,-1,0.01,0.03,0.01,0.01,0.01,NaN,NaN,NaN,NaN,NaN,NaN
2.99,0,-1.000,-1,0.01,0.02,0.02,0.01,0.01,NaN,NaN,NaN,NaN,NaN,NaN
3.09,0,-1.000,-1,0.02,0.05,0.04,0.03,0.01,NaN,NaN,NaN,NaN,NaN,NaN
3.19,0,-1.000,-1,0.02,0.05,0.05,0.02,0.01,NaN,NaN,NaN,NaN,NaN,NaN
3.29,0,-1.000,-1,0.08,0.00,0.01,0.01,0.01,NaN,NaN,NaN,NaN,NaN,NaN
3.39,0,-1.000,-1,0.50,0.01,0.00,0.32,0.00,NaN,NaN,NaN,NaN,NaN,NaN
3.50,0,-0.999,-1,0.04,0.13,0.15,0.02,0.01,NaN,NaN,NaN,NaN,NaN,NaN
3.60,0,-0.999,-1,0.04,0.15,0.28,0.02,0.01,NaN,NaN,NaN,NaN,NaN,NaN
3.70,0,-0.999,-1,0.05,0.18,0.07,0.30,0.01,NaN,NaN,NaN,NaN,NaN,NaN
3.78,0,-0.999,-1,0.44,0.26,0.93,0.47,0.02,NaN,NaN,NaN,NaN,NaN,NaN
3.89,0,-0.998,-1,1.37,0.23,0.31,0.57,0.86,NaN,NaN,NaN,NaN,NaN,NaN
3.97,0,-0.996,-1,2.18,0.31,0.14,0.99,1.11,NaN,NaN,NaN,NaN,NaN,NaN
4.05,0,-0.995,-1,2.45,0.85,0.55,0.78,1.07,NaN,NaN,NaN,NaN,NaN,NaN
4.13,0,-0.994,-1,2.97,1.96,2.01,0.71,0.72,NaN,NaN,NaN,NaN,NaN,NaN
4.20,0,-0.993,-1,3.20,3.72,4.97,1.37,1.52,NaN,NaN,NaN,NaN,NaN,NaN
4.28,0,-0.991,-1,2.48,1.54,1.08,0.48,0.04,NaN,NaN,NaN,NaN,NaN,NaN
4.37,0,-0.990,-1,1.72,0.04,0.04,0.14,0.01,NaN,NaN,NaN,NaN,NaN,NaN
4.45,0,-0.989,-1,0.02,0.13,0.20,0.13,0.10,NaN,NaN,NaN,NaN,NaN,NaN
4.53,0,-0.989,-1,0.05,0.06,0.06,0.06,0.02,NaN,NaN,NaN,NaN,NaN,NaN
4.62,0,-0.989,-1,0.11,0.03,0.02,0.03,0.07,NaN,NaN,NaN,NaN,NaN,NaN
4.72,0,-0.989,-1,1.98,0.73,0.62,0.80,0.50,NaN,NaN,NaN,NaN,NaN,NaN
4.79,0,-0.988,-1,2.73,1.54,1.43,1.59,1.03,NaN,NaN,NaN,NaN,NaN,NaN
4.87,0,-0.987,-1,3.44,3.55,3.08,2.54,0.81,NaN,NaN,NaN,NaN,NaN,NaN
4.95,0,-0.985,-1,4.13,6.02,5.05,2.53,0.58,NaN,NaN,NaN,NaN,NaN,NaN
5.03,0,-0.984,-1,3.83,5.12,4.34,2.45,0.46,NaN,NaN,NaN,NaN,NaN,NaN
5.10,0,-0.983,-1,3.12,2.40,2.84,2.02,1.49,NaN,NaN,NaN,NaN,NaN,NaN
5.18,0,-0.982,-1,3.45,3.09,2.69,1.62,1.19,NaN,NaN,NaN,NaN,NaN,NaN
5.26,0,-0.980,-1,2.73,0.68,0.92,1.01,0.24,NaN,NaN,NaN,NaN,NaN,NaN
5.33,0,-0.979,-1,2.22,0.20,0.28,0.05,0.00,NaN,NaN,NaN,NaN,NaN,NaN
5.45,0,-0.977,-1,1.34,0.12,0.06,0.07,0.13,NaN,NaN,NaN,NaN,NaN,NaN
5.53,0,-0.976,-1,2.56,0.36,0.39,0.58,0.25,NaN,NaN,NaN,NaN,NaN,NaN
5.61,0,-0.975,-1,2.74,0.46,0.48,0.59,0.27,NaN,NaN,NaN,NaN,NaN,NaN
5.69,0,-0.973,-1,3.25,0.17,0.55,1.15,0.64,NaN,NaN,NaN,NaN,NaN,NaN
5.80,0,-0.971,-1,3.91,0.42,2.11,1.13,0.51,NaN,NaN,NaN,NaN,NaN,NaN
5.89,0,-0.970,-1,4.82,1.76,2.61,1.38,0.59,NaN,NaN,NaN,NaN,NaN,NaN
5.96,0,-0.969,-1,6.35,4.23,4.75,3.46,1.40,NaN,NaN,NaN,NaN,NaN,NaN
6.04,0,-0.967,-1,7.08,4.85,5.02,3.99,0.90,NaN,NaN,NaN,NaN,NaN,NaN
6.11,0,-0.966,-1,8.14,7.25,7.16,5.90,1.79,NaN,NaN,NaN,NaN,NaN,NaN
6.20,0,-0.965,-1,9.13,10.18,8.18,6.68,2.67,NaN,NaN,NaN,NaN,NaN,NaN
6.28,0,-0.963,-1,9.13,10.47,8.94,7.55,3.08,NaN,NaN,NaN,NaN,NaN,NaN
6.37,0,-0.962,-1,9.13,10.47,9.55,8.75,4.18,NaN,NaN,NaN,NaN,NaN,NaN
6.46,0,-0.960,-1,9.13,10.47,10.01,8.74,4.32,NaN,NaN,NaN,NaN,NaN,NaN
6.54,0,-0.959,-1,9.13,10.47,10.46,9.32,4.25,NaN,NaN,NaN,NaN,NaN,NaN
6.64,0,-0.957,-1,9.05,10.47,6.61,5.38,2.30,NaN,NaN,NaN,NaN,NaN,NaN
6.72,0,-0.956,-1,3.66,3.79,1.53,1.56,0.55,NaN,NaN,NaN,NaN,NaN,NaN
6.80,0,-0.955,-1,1.57,0.37,0.44,0.24,0.01,NaN,NaN,NaN,NaN,NaN,NaN
6.88,0,-0.953,-1,0.46,0.10,0.35,0.25,0.10,NaN,NaN,NaN,NaN,NaN,NaN
6.96,0,-0.952,-1,1.55,0.08,0.20,0.08,0.00,NaN,NaN,NaN,NaN,NaN,NaN
7.04,0,-0.951,-1,0.75,0.33,0.11,0.01,0.04,NaN,NaN,NaN,NaN,NaN,NaN
7.13,0,-0.950,-1,0.67,1.46,0.67,0.82,0.16,NaN,NaN,NaN,NaN,NaN,NaN
7.20,0,-0.948,-1,0.60,3.59,0.11,0.26,0.09,NaN,NaN,NaN,NaN,NaN,NaN
7.28,0,-0.947,-1,0.63,7.84,0.28,0.26,0.10,NaN,NaN,NaN,NaN,NaN,NaN
7.35,0,-0.946,-1,0.59,9.41,0.16,0.71,0.48,NaN,NaN,NaN,NaN,NaN,NaN
7.43,0,-0.945,-1,0.60,9.50,0.35,0.78,0.53,NaN,NaN,NaN,NaN,NaN,NaN
7.50,0,-0.943,-1,0.59,10.47,0.11,0.13,0.25,NaN,NaN,NaN,NaN,NaN,NaN
7.57,0,-0.942,-1,0.59,9.13,0.02,0.13,0.10,NaN,NaN,NaN,NaN,NaN,NaN
7.66,0,-0.941,-1,0.59,4.69,0.52,0.24,0.13,NaN,NaN,NaN,NaN,NaN,NaN
7.74,0,-0.940,-1,0.59,2.48,0.36,0.37,0.12,NaN,NaN,NaN,NaN,NaN,NaN
7.85,0,-0.938,-1,0.59,0.35,1.76,0.79,0.14,NaN,NaN,NaN,NaN,NaN,NaN
