Time(s),Phase,Progress,WinnerIndex,Force_F0,Force_F1,Force_F2,Force_F3,Force_F4,Fatigue_F0,Fatigue_F1,Fatigue_F2,Fatigue_F3,Fatigue_F4,P3_Accuracy
0.12,0,-1.000,-1,0.01,0.03,0.01,0.02,0.07,NaN,NaN,NaN,NaN,NaN,NaN
0.21,0,-1.000,-1,0.00,0.05,0.04,0.03,0.06,NaN,NaN,NaN,NaN,NaN,NaN
0.31,0,-1.000,-1,0.01,0.06,0.01,0.02,0.06,NaN,NaN,NaN,NaN,NaN,NaN
0.39,0,-1.000,-1,0.01,0.06,0.01,0.00,0.07,NaN,NaN,NaN,NaN,NaN,NaN
0.49,0,-1.000,-1,0.01,0.07,0.09,0.06,0.09,NaN,NaN,NaN,NaN,NaN,NaN
0.57,0,-1.000,-1,0.01,0.08,0.08,0.02,0.10,NaN,NaN,NaN,NaN,NaN,NaN
0.68,0,-1.000,-1,0.01,0.10,0.09,0.01,0.09,NaN,NaN,NaN,NaN,NaN,NaN
0.76,0,-1.000,-1,0.01,0.09,0.08,0.00,0.07,NaN,NaN,NaN,NaN,NaN,NaN
0.86,0,-1.000,-1,0.01,0.10,0.08,0.02,0.07,NaN,NaN,NaN,NaN,NaN,NaN
0.95,0,-1.000,-1,0.00,0.09,0.09,0.11,0.07,NaN,NaN,NaN,NaN,NaN,NaN
1.03,0,-1.000,-1,0.00,0.10,0.08,0.09,0.07,NaN,NaN,NaN,NaN,NaN,NaN
1.11,0,-1.000,-1,0.01,0.07,0.09,0.08,0.07,NaN,NaN,NaN,NaN,NaN,NaN
1.19,0,-1.000,-1,0.00,0.09,0.11,0.09,0.09,NaN,NaN,NaN,NaN,NaN,NaN
1.28,0,-1.000,-1,0.01,0.09,0.10,0.09,0.08,NaN,NaN,NaN,NaN,NaN,NaN
1.36,0,-1.000,-1,0.00,0.10,0.09,0.06,0.09,NaN,NaN,NaN,NaN,NaN,NaN
1.45,0,-1.000,-1,0.00,0.09,0.00,0.02,0.09,NaN,NaN,NaN,NaN,NaN,NaN
1.55,0,-1.000,-1,0.00,0.04,0.02,0.06,0.13,NaN,NaN,NaN,NaN,NaN,NaN
1.64,0,-1.000,-1,0.01,0.07,0.12,0.16,0.15,NaN,NaN,NaN,NaN,NaN,NaN
1.71,0,-1.000,-1,0.00,0.08,0.10,0.12,0.08,NaN,NaN,NaN,NaN,NaN,NaN
1.79,0,-1.000,-1,0.00,0.17,0.10,0.12,0.11,NaN,NaN,NaN,NaN,NaN,NaN
1.90,0,-1.000,-1,0.01,0.17,0.15,0.18,0.19,NaN,NaN,NaN,NaN,NaN,NaN
1.98,0,-1.000,-1,0.01,0.16,0.38,0.13,0.10,NaN,NaN,NaN,NaN,NaN,NaN
2.08,0,-1.000,-1,0.02,0.14,0.13,0.30,0.06,NaN,NaN,NaN,NaN,NaN,NaN
2.18,0,-1.000,-1,0.01,0.02,0.16,0.25,0.17,NaN,NaN,NaN,NaN,NaN,NaN
2.26,0,-1.000,-1,0.01,0.02,0.14,0.26,0.64,NaN,NaN,NaN,NaN,NaN,NaN
2.34,0,-0.999,-1,0.01,0.04,0.04,0.17,0.54,NaN,NaN,NaN,NaN,NaN,NaN
2.44,0,-0.998,-1,0.31,0.01,0.09,0.06,0.18,NaN,NaN,NaN,NaN,NaN,NaN
2.54,0,-0.998,-1,0.01,0.05,0.03,0.02,0.10,NaN,NaN,NaN,NaN,NaN,NaN
2.61,0,-0.998,-1,0.21,0.05,0.00,0.06,0.24,NaN,NaN,NaN,NaN,NaN,NaN
2.68,0,-0.998,-1,0.02,0.06,0.00,0.09,0.13,NaN,NaN,NaN,NaN,NaN,NaN
2.80,0,-0.998,-1,0.14,0.07,0.06,0.00,0.19,NaN,NaN,NaN,NaN,NaN,NaN
2.90,0,-0.998,-1,0.06,0.06,0.10,0.00,0.17,NaN,NaN,NaN,NaN,NaN,NaN
2.97,0,-0.998,-1,0.17,0.06,0.09,0.03,0.12,NaN,NaN,NaN,NaN,NaN,NaN
3.04,0,-0.998,-1,0.02,0.06,0.08,0.00,0.14,NaN,NaN,NaN,NaN,NaN,NaN
3.13,0,-0.998,-1,0.13,0.06,0.10,0.01,0.14,NaN,NaN,NaN,NaN,NaN,NaN
3.21,0,-0.998,-1,0.14,0.06,0.11,0.05,0.19,NaN,NaN,NaN,NaN,NaN,NaN
3.28,0,-0.998,-1,0.19,0.06,0.11,0.03,0.19,NaN,NaN,NaN,NaN,NaN,NaN
3.39,0,-0.998,-1,0.19,0.06,0.10,0.02,0.18,NaN,NaN,NaN,NaN,NaN,NaN
3.46,0,-0.998,-1,0.19,0.06,0.09,0.03,0.18,NaN,NaN,NaN,NaN,NaN,NaN
3.56,0,-0.998,-1,0.19,0.06,0.09,0.06,0.18,NaN,NaN,NaN,NaN,NaN,NaN
3.67,0,-0.998,-1,0.10,0.08,0.07,0.01,0.15,NaN,NaN,NaN,NaN,NaN,NaN
3.74,0,-0.998,-1,0.02,0.07,0.08,0.03,0.16,NaN,NaN,NaN,NaN,NaN,NaN
3.82,0,-0.998,-1,0.06,0.10,0.09,0.01,0.14,NaN,NaN,NaN,NaN,NaN,NaN
3.89,0,-0.998,-1,0.01,0.07,0.08,0.01,0.15,NaN,NaN,NaN,NaN,NaN,NaN
3.98,0,-0.998,-1,0.01,0.06,0.07,0.08,0.11,NaN,NaN,NaN,NaN,NaN,NaN
4.06,0,-0.998,-1,0.01,0.06,0.07,0.07,0.15,NaN,NaN,NaN,NaN,NaN,NaN
4.14,0,-0.998,-1,0.02,0.06,0.07,0.03,0.17,NaN,NaN,NaN,NaN,NaN,NaN
