Time(s),Phase,Progress,WinnerIndex,Force_F0,Force_F1,Force_F2,Force_F3,Force_F4,Fatigue_F0,Fatigue_F1,Fatigue_F2,Fatigue_F3,Fatigue_F4,P3_Accuracy
0.16,0,-0.999,-1,0.67,0.12,0.19,0.18,0.15,NaN,NaN,NaN,NaN,NaN,NaN
0.24,0,-0.997,-1,0.57,0.15,0.17,0.18,0.18,NaN,NaN,NaN,NaN,NaN,NaN
0.35,0,-0.995,-1,0.60,0.15,0.12,0.14,0.17,NaN,NaN,NaN,NaN,NaN,NaN
0.42,0,-0.994,-1,0.62,0.12,0.15,0.07,0.14,NaN,NaN,NaN,NaN,NaN,NaN
0.52,0,-0.992,-1,0.60,0.14,0.17,0.10,0.15,NaN,NaN,NaN,NaN,NaN,NaN
0.62,0,-0.990,-1,0.75,0.16,0.33,0.28,0.29,NaN,NaN,NaN,NaN,NaN,NaN
0.71,0,-0.989,-1,0.76,0.14,0.32,0.27,0.39,NaN,NaN,NaN,NaN,NaN,NaN
0.81,0,-0.987,-1,0.56,0.12,0.02,0.03,0.14,NaN,NaN,NaN,NaN,NaN,NaN
0.92,0,-0.986,-1,0.50,0.11,0.09,0.03,0.16,NaN,NaN,NaN,NaN,NaN,NaN
1.02,0,-0.984,-1,0.54,0.12,0.14,0.04,0.16,NaN,NaN,NaN,NaN,NaN,NaN
1.13,0,-0.982,-1,0.56,0.11,0.14,0.06,0.18,NaN,NaN,NaN,NaN,NaN,NaN
1.24,0,-0.981,-1,0.71,0.12,0.15,0.09,0.19,NaN,NaN,NaN,NaN,NaN,NaN
1.32,0,-0.979,-1,0.38,0.13,0.17,0.06,0.19,NaN,NaN,NaN,NaN,NaN,NaN
1.39,0,-0.979,-1,0.38,0.12,0.16,0.06,0.17,NaN,NaN,NaN,NaN,NaN,NaN
1.50,0,-0.979,-1,0.17,0.12,0.17,0.05,0.13,NaN,NaN,NaN,NaN,NaN,NaN
1.61,0,-0.979,-1,0.71,0.12,0.14,0.06,0.16,NaN,NaN,NaN,NaN,NaN,NaN
1.71,0,-0.977,-1,0.70,0.10,0.14,0.08,0.17,NaN,NaN,NaN,NaN,NaN,NaN
1.81,0,-0.976,-1,0.86,0.12,0.16,0.10,0.20,NaN,NaN,NaN,NaN,NaN,NaN
