Time(s),Phase,Progress,WinnerIndex,Force_F0,Force_F1,Force_F2,Force_F3,Force_F4,Fatigue_F0,Fatigue_F1,Fatigue_F2,Fatigue_F3,Fatigue_F4,P3_Accuracy
1.92,0,-0.974,-1,0.73,0.11,0.19,0.15,0.23,NaN,NaN,NaN,NaN,NaN,NaN
1.99,0,-0.973,-1,0.74,0.13,0.20,0.19,0.26,NaN,NaN,NaN,NaN,NaN,NaN
2.06,0,-0.972,-1,0.27,0.13,0.20,0.18,0.23,NaN,NaN,NaN,NaN,NaN,NaN
2.17,0,-0.972,-1,0.08,0.12,0.19,0.16,0.20,NaN,NaN,NaN,NaN,NaN,NaN
2.27,0,-0.972,-1,0.43,0.11,0.10,0.13,0.21,NaN,NaN,NaN,NaN,NaN,NaN
2.37,0,-0.970,-1,0.74,0.10,0.13,0.17,0.22,NaN,NaN,NaN,NaN,NaN,NaN
2.47,0,-0.969,-1,0.14,0.11,0.13,0.16,0.21,NaN,NaN,NaN,NaN,NaN,NaN
2.58,0,-0.969,-1,0.92,0.03,0.06,0.06,0.16,NaN,NaN,NaN,NaN,NaN,NaN
2.65,0,-0.968,-1,1.71,0.09,0.04,0.01,0.16,NaN,NaN,NaN,NaN,NaN,NaN
2.73,0,-0.966,-1,1.64,0.01,0.04,0.04,0.17,NaN,NaN,NaN,NaN,NaN,NaN
2.82,0,-0.965,-1,0.78,0.11,0.07,0.16,0.26,NaN,NaN,NaN,NaN,NaN,NaN
2.92,0,-0.964,-1,0.75,0.19,0.13,0.22,0.28,NaN,NaN,NaN,NaN,NaN,NaN
3.00,0,-0.962,-1,0.75,0.15,0.20,0.25,0.30,NaN,NaN,NaN,NaN,NaN,NaN
3.09,0,-0.961,-1,0.75,0.15,0.19,0.23,0.29,NaN,NaN,NaN,NaN,NaN,NaN
3.16,0,-0.960,-1,0.56,0.13,0.17,0.22,0.28,NaN,NaN,NaN,NaN,NaN,NaN
3.26,0,-0.959,-1,0.71,0.07,0.08,0.12,0.19,NaN,NaN,NaN,NaN,NaN,NaN
3.36,0,-0.957,-1,1.27,0.04,0.06,0.07,0.19,NaN,NaN,NaN,NaN,NaN,NaN
3.46,0,-0.956,-1,0.87,0.10,0.08,0.15,0.27,NaN,NaN,NaN,NaN,NaN,NaN
3.56,0,-0.955,-1,0.66,0.18,0.34,0.37,0.41,NaN,NaN,NaN,NaN,NaN,NaN
3.64,0,-0.953,-1,0.67,0.13,0.31,0.31,0.39,NaN,NaN,NaN,NaN,NaN,NaN
3.74,0,-0.952,-1,0.75,0.19,0.22,0.27,0.40,NaN,NaN,NaN,NaN,NaN,NaN
3.85,0,-0.950,-1,0.67,0.17,0.34,0.29,0.39,NaN,NaN,NaN,NaN,NaN,NaN
3.95,0,-0.948,-1,0.75,0.16,0.34,0.28,0.34,NaN,NaN,NaN,NaN,NaN,NaN
4.05,0,-0.946,-1,0.59,0.16,0.32,0.25,0.29,NaN,NaN,NaN,NaN,NaN,NaN
4.15,0,-0.945,-1,0.37,0.15,0.22,0.16,0.13,NaN,NaN,NaN,NaN,NaN,NaN
4.25,0,-0.945,-1,0.42,0.00,0.21,0.06,0.11,NaN,NaN,NaN,NaN,NaN,NaN
4.35,0,-0.944,-1,1.12,0.01,0.12,0.01,0.10,NaN,NaN,NaN,NaN,NaN,NaN
4.45,0,-0.943,-1,0.76,0.04,0.19,0.12,0.20,NaN,NaN,NaN,NaN,NaN,NaN
4.52,0,-0.942,-1,0.75,0.19,0.23,0.18,0.24,NaN,NaN,NaN,NaN,NaN,NaN
4.62,0,-0.940,-1,0.73,0.16,0.24,0.19,0.22,NaN,NaN,NaN,NaN,NaN,NaN
4.73,0,-0.938,-1,0.35,0.16,0.22,0.18,0.20,NaN,NaN,NaN,NaN,NaN,NaN
4.83,0,-0.938,-1,1.03,0.06,0.12,0.05,0.16,NaN,NaN,NaN,NaN,NaN,NaN
4.94,0,-0.936,-1,0.59,0.02,0.13,0.08,0.20,NaN,NaN,NaN,NaN,NaN,NaN
5.01,0,-0.935,-1,0.81,0.11,0.14,0.14,0.27,NaN,NaN,NaN,NaN,NaN,NaN
5.11,0,-0.933,-1,0.75,0.12,0.15,0.18,0.26,NaN,NaN,NaN,NaN,NaN,NaN
5.18,0,-0.932,-1,0.75,0.13,0.16,0.17,0.25,NaN,NaN,NaN,NaN,NaN,NaN
5.29,0,-0.930,-1,0.56,0.10,0.17,0.17,0.25,NaN,NaN,NaN,NaN,NaN,NaN
5.39,0,-0.930,-1,1.41,0.05,0.08,0.06,0.19,NaN,NaN,NaN,NaN,NaN,NaN
5.49,0,-0.928,-1,1.73,0.11,0.02,0.03,0.10,NaN,NaN,NaN,NaN,NaN,NaN
5.59,0,-0.926,-1,1.60,0.04,0.06,0.03,0.16,NaN,NaN,NaN,NaN,NaN,NaN
5.67,0,-0.925,-1,0.37,0.00,0.06,0.07,0.21,NaN,NaN,NaN,NaN,NaN,NaN
5.77,0,-0.924,-1,0.78,0.09,0.10,0.13,0.23,NaN,NaN,NaN,NaN,NaN,NaN
5.87,0,-0.922,-1,0.72,0.12,0.16,0.14,0.19,NaN,NaN,NaN,NaN,NaN,NaN
5.96,0,-0.921,-1,0.69,0.15,0.18,0.11,0.11,NaN,NaN,NaN,NaN,NaN,NaN
6.07,0,-0.919,-1,0.68,0.13,0.17,0.12,0.08,NaN,NaN,NaN,NaN,NaN,NaN
6.14,0,-0.918,-1,0.69,0.10,0.15,0.13,0.11,NaN,NaN,NaN,NaN,NaN,NaN
6.25,0,-0.916,-1,0.61,0.07,0.12,0.13,0.13,NaN,NaN,NaN,NaN,NaN,NaN
6.32,0,-0.915,-1,0.63,0.08,0.11,0.12,0.10,NaN,NaN,NaN,NaN,NaN,NaN
6.43,0,-0.913,-1,0.73,0.07,0.10,0.12,0.12,NaN,NaN,NaN,NaN,NaN,NaN
6.51,0,-0.912,-1,0.74,0.07,0.07,0.12,0.11,NaN,NaN,NaN,NaN,NaN,NaN
6.65,0,-0.911,-1,0.73,0.06,0.08,0.14,0.15,NaN,NaN,NaN,NaN,NaN,NaN
6.73,0,-0.908,-1,0.74,0.06,0.08,0.13,0.16,NaN,NaN,NaN,NaN,NaN,NaN
6.81,0,-0.906,-1,0.69,0.00,0.07,0.11,0.17,NaN,NaN,NaN,NaN,NaN,NaN
6.91,0,-0.905,-1,0.50,0.10,0.10,0.17,0.16,NaN,NaN,NaN,NaN,NaN,NaN
6.99,0,-0.904,-1,0.04,0.15,0.19,0.23,0.21,NaN,NaN,NaN,NaN,NaN,NaN
7.09,0,-0.904,-1,1.46,0.12,0.14,0.19,0.17,NaN,NaN,NaN,NaN,NaN,NaN
7.20,0,-0.902,-1,2.34,0.44,1.03,0.66,0.18,NaN,NaN,NaN,NaN,NaN,NaN
7.30,0,-0.900,-1,2.33,0.54,1.49,0.83,0.33,NaN,NaN,NaN,NaN,NaN,NaN
7.41,0,-0.899,-1,2.45,1.86,2.15,1.31,0.52,NaN,NaN,NaN,NaN,NaN,NaN
7.51,0,-0.897,-1,2.46,1.44,3.18,2.58,1.41,NaN,NaN,NaN,NaN,NaN,NaN
7.61,0,-0.895,-1,2.40,0.77,2.34,2.86,2.47,NaN,NaN,NaN,NaN,NaN,NaN
7.69,0,-0.894,-1,1.97,0.00,1.50,1.18,0.89,NaN,NaN,NaN,NaN,NaN,NaN
7.80,0,-0.892,-1,0.31,0.21,0.74,0.66,0.46,NaN,NaN,NaN,NaN,NaN,NaN
7.93,0,-0.890,-1,0.55,0.16,0.52,0.51,0.44,NaN,NaN,NaN,NaN,NaN,NaN
8.03,0,-0.888,-1,0.65,0.14,0.27,0.31,0.25,NaN,NaN,NaN,NaN,NaN,NaN
8.11,0,-0.887,-1,0.64,0.09,0.19,0.16,0.02,NaN,NaN,NaN,NaN,NaN,NaN
8.19,0,-0.886,-1,0.75,0.01,0.17,0.13,0.07,NaN,NaN,NaN,NaN,NaN,NaN
8.28,0,-0.884,-1,0.15,0.08,0.55,0.67,0.17,NaN,NaN,NaN,NaN,NaN,NaN
8.37,0,-0.882,-1,2.00,0.96,2.23,0.72,0.88,NaN,NaN,NaN,NaN,NaN,NaN
8.45,0,-0.881,-1,2.21,1.47,4.34,3.37,0.69,NaN,NaN,NaN,NaN,NaN,NaN
8.53,0,-0.880,-1,2.33,2.51,5.98,4.46,1.06,NaN,NaN,NaN,NaN,NaN,NaN
8.62,0,-0.878,-1,2.36,2.57,6.53,5.44,1.45,NaN,NaN,NaN,NaN,NaN,NaN
8.70,0,-0.877,-1,2.10,1.66,3.75,4.12,1.25,NaN,NaN,NaN,NaN,NaN,NaN
8.79,0,-0.875,-1,0.71,0.24,0.12,1.06,0.19,NaN,NaN,NaN,NaN,NaN,NaN
8.89,0,-0.874,-1,0.78,0.21,0.78,0.68,0.41,NaN,NaN,NaN,NaN,NaN,NaN
8.99,0,-0.873,-1,0.79,0.10,0.41,0.44,0.40,NaN,NaN,NaN,NaN,NaN,NaN
9.09,0,-0.871,-1,0.40,0.16,0.57,0.54,0.33,NaN,NaN,NaN,NaN,NaN,NaN
9.19,0,-0.869,-1,1.57,2.08,4.45,3.31,1.10,NaN,NaN,NaN,NaN,NaN,NaN
9.27,0,-0.868,-1,2.24,4.05,8.08,6.69,2.98,NaN,NaN,NaN,NaN,NaN,NaN
9.37,0,-0.866,-1,1.88,2.03,5.57,4.43,1.36,NaN,NaN,NaN,NaN,NaN,NaN
9.45,0,-0.865,-1,1.69,0.15,1.31,1.36,0.24,NaN,NaN,NaN,NaN,NaN,NaN
9.53,0,-0.864,-1,0.79,0.28,0.69,0.42,0.19,NaN,NaN,NaN,NaN,NaN,NaN
9.62,0,-0.863,-1,0.53,0.01,0.33,0.16,0.12,NaN,NaN,NaN,NaN,NaN,NaN
9.73,0,-0.862,-1,1.71,1.51,3.40,2.17,0.59,NaN,NaN,NaN,NaN,NaN,NaN
9.84,0,-0.860,-1,3.02,8.49,10.33,9.25,3.46,NaN,NaN,NaN,NaN,NaN,NaN
9.91,0,-0.859,-1,3.76,10.44,10.33,9.25,3.84,NaN,NaN,NaN,NaN,NaN,NaN
10.01,0,-0.857,-1,4.76,10.44,10.33,9.25,4.90,NaN,NaN,NaN,NaN,NaN,NaN
10.11,0,-0.855,-1,5.02,10.44,10.33,9.25,5.83,NaN,NaN,NaN,NaN,NaN,NaN
10.21,0,-0.854,-1,4.89,10.44,10.33,9.25,6.54,NaN,NaN,NaN,NaN,NaN,NaN
10.31,0,-0.852,-1,4.53,10.44,10.33,9.25,6.41,NaN,NaN,NaN,NaN,NaN,NaN
10.41,0,-0.850,-1,4.51,10.44,10.33,9.25,6.35,NaN,NaN,NaN,NaN,NaN,NaN
10.52,0,-0.848,-1,4.51,10.44,10.33,9.25,6.73,NaN,NaN,NaN,NaN,NaN,NaN
10.59,0,-0.847,-1,4.57,10.44,10.33,9.25,6.50,NaN,NaN,NaN,NaN,NaN,NaN
10.69,0,-0.846,-1,4.68,10.44,10.33,9.25,6.29,NaN,NaN,NaN,NaN,NaN,NaN
10.79,0,-0.844,-1,4.67,10.44,10.33,9.25,6.39,NaN,NaN,NaN,NaN,NaN,NaN
10.89,0,-0.842,-1,4.56,10.44,10.33,9.25,6.38,NaN,NaN,NaN,NaN,NaN,NaN
11.00,0,-0.840,-1,4.53,10.44,10.33,9.25,6.32,NaN,NaN,NaN,NaN,NaN,NaN
11.10,0,-0.839,-1,4.46,10.44,10.33,9.25,6.04,NaN,NaN,NaN,NaN,NaN,NaN
11.20,0,-0.837,-1,4.46,10.44,10.33,9.25,5.65,NaN,NaN,NaN,NaN,NaN,NaN
11.30,0,-0.835,-1,4.47,10.44,10.33,9.25,5.50,NaN,NaN,NaN,NaN,NaN,NaN
11.40,0,-0.834,-1,4.46,10.44,10.33,9.25,4.83,NaN,NaN,NaN,NaN,NaN,NaN
11.50,0,-0.832,-1,4.43,10.44,10.33,9.25,3.91,NaN,NaN,NaN,NaN,NaN,NaN
11.60,0,-0.830,-1,4.25,10.44,10.33,9.25,3.46,NaN,NaN,NaN,NaN,NaN,NaN
11.70,0,-0.829,-1,4.17,10.44,10.33,9.25,3.10,NaN,NaN,NaN,NaN,NaN,NaN
11.78,0,-0.827,-1,4.16,10.44,10.33,9.25,2.93,NaN,NaN,NaN,NaN,NaN,NaN
11.88,0,-0.826,-1,4.10,10.44,10.33,9.25,2.93,NaN,NaN,NaN,NaN,NaN,NaN
11.98,0,-0.824,-1,4.07,10.44,10.33,9.25,2.90,NaN,NaN,NaN,NaN,NaN,NaN
12.09,0,-0.822,-1,3.97,10.44,10.33,9.25,2.87,NaN,NaN,NaN,NaN,NaN,NaN
12.18,0,-0.821,-1,3.87,10.44,10.33,9.25,2.98,NaN,NaN,NaN,NaN,NaN,NaN
12.29,0,-0.819,-1,3.74,10.44,10.33,9.25,2.91,NaN,NaN,NaN,NaN,NaN,NaN
12.39,0,-0.817,-1,3.64,10.44,10.33,9.25,2.66,NaN,NaN,NaN,NaN,NaN,NaN
12.49,0,-0.816,-1,3.56,10.44,10.33,9.25,2.40,NaN,NaN,NaN,NaN,NaN,NaN
12.59,0,-0.814,-1,3.55,10.44,10.33,9.25,2.38,NaN,NaN,NaN,NaN,NaN,NaN
12.70,0,-0.812,-1,3.54,10.44,10.33,9.25,2.33,NaN,NaN,NaN,NaN,NaN,NaN
12.77,0,-0.811,-1,3.56,10.44,10.33,9.25,2.27,NaN,NaN,NaN,NaN,NaN,NaN
12.88,0,-0.809,-1,3.58,10.44,10.33,9.25,2.31,NaN,NaN,NaN,NaN,NaN,NaN
12.98,0,-0.807,-1,3.60,10.44,10.33,9.25,2.47,NaN,NaN,NaN,NaN,NaN,NaN
13.07,0,-0.806,-1,3.60,10.44,10.33,9.25,2.50,NaN,NaN,NaN,NaN,NaN,NaN
13.17,0,-0.804,-1,3.60,10.44,10.33,9.25,3.13,NaN,NaN,NaN,NaN,NaN,NaN
13.28,0,-0.802,-1,3.60,10.44,10.33,9.25,4.19,NaN,NaN,NaN,NaN,NaN,NaN
13.38,0,-0.801,-1,3.60,10.44,10.33,9.25,4.86,NaN,NaN,NaN,NaN,NaN,NaN
13.49,0,-0.799,-1,3.60,10.44,10.33,9.25,4.95,NaN,NaN,NaN,NaN,NaN,NaN
13.56,0,-0.798,-1,3.58,10.44,10.33,9.25,4.97,NaN,NaN,NaN,NaN,NaN,NaN
13.66,0,-0.796,-1,3.56,10.44,10.33,9.25,5.66,NaN,NaN,NaN,NaN,NaN,NaN
13.73,0,-0.795,-1,3.53,10.44,10.33,9.25,6.02,NaN,NaN,NaN,NaN,NaN,NaN
13.83,0,-0.793,-1,3.51,10.44,10.33,9.25,5.95,NaN,NaN,NaN,NaN,NaN,NaN
13.92,0,-0.792,-1,3.52,10.44,10.33,9.25,5.48,NaN,NaN,NaN,NaN,NaN,NaN
14.01,0,-0.790,-1,3.52,10.44,10.33,9.25,5.24,NaN,NaN,NaN,NaN,NaN,NaN
14.11,0,-0.788,-1,3.53,10.44,10.33,9.25,4.98,NaN,NaN,NaN,NaN,NaN,NaN
14.22,0,-0.787,-1,3.52,10.44,10.33,9.25,4.47,NaN,NaN,NaN,NaN,NaN,NaN
14.32,0,-0.785,-1,3.52,10.44,10.33,9.25,4.19,NaN,NaN,NaN,NaN,NaN,NaN
14.40,0,-0.784,-1,3.51,10.44,10.33,9.25,4.12,NaN,NaN,NaN,NaN,NaN,NaN
14.50,0,-0.782,-1,3.39,10.44,10.33,9.25,3.95,NaN,NaN,NaN,NaN,NaN,NaN
14.57,0,-0.781,-1,3.39,10.44,10.33,9.22,3.73,NaN,NaN,NaN,NaN,NaN,NaN
14.67,0,-0.779,-1,3.33,10.44,10.33,8.81,3.44,NaN,NaN,NaN,NaN,NaN,NaN
14.77,0,-0.778,-1,3.28,10.44,10.33,8.44,2.91,NaN,NaN,NaN,NaN,NaN,NaN
14.87,0,-0.776,-1,3.23,10.44,10.33,8.35,2.77,NaN,NaN,NaN,NaN,NaN,NaN
14.96,0,-0.774,-1,3.22,10.44,10.33,8.34,2.81,NaN,NaN,NaN,NaN,NaN,NaN
15.06,0,-0.773,-1,3.16,10.44,10.33,8.12,2.84,NaN,NaN,NaN,NaN,NaN,NaN
15.16,0,-0.771,-1,3.12,10.44,10.27,7.95,2.85,NaN,NaN,NaN,NaN,NaN,NaN
15.26,0,-0.769,-1,3.12,10.44,10.32,7.75,2.85,NaN,NaN,NaN,NaN,NaN,NaN
15.36,0,-0.768,-1,3.10,10.44,10.27,7.55,2.77,NaN,NaN,NaN,NaN,NaN,NaN
15.46,0,-0.766,-1,3.08,10.44,10.32,7.43,2.74,NaN,NaN,NaN,NaN,NaN,NaN
15.56,0,-0.764,-1,3.08,10.44,10.30,7.32,2.72,NaN,NaN,NaN,NaN,NaN,NaN
15.66,0,-0.763,-1,3.07,10.44,10.31,7.26,2.71,NaN,NaN,NaN,NaN,NaN,NaN
15.77,0,-0.761,-1,3.06,10.44,10.29,7.21,2.69,NaN,NaN,NaN,NaN,NaN,NaN
15.87,0,-0.759,-1,3.05,10.43,10.30,7.12,2.60,NaN,NaN,NaN,NaN,NaN,NaN
15.97,0,-0.758,-1,3.05,10.39,10.28,7.09,2.58,NaN,NaN,NaN,NaN,NaN,NaN
16.04,0,-0.756,-1,3.06,10.41,10.29,7.10,2.56,NaN,NaN,NaN,NaN,NaN,NaN
16.14,0,-0.755,-1,3.06,10.41,10.20,6.96,2.46,NaN,NaN,NaN,NaN,NaN,NaN
16.25,0,-0.753,-1,3.02,10.10,10.04,6.76,2.43,NaN,NaN,NaN,NaN,NaN,NaN
16.35,0,-0.751,-1,3.03,10.12,10.09,6.81,2.43,NaN,NaN,NaN,NaN,NaN,NaN
16.45,0,-0.750,-1,3.03,10.15,10.12,6.80,2.41,NaN,NaN,NaN,NaN,NaN,NaN
16.55,0,-0.748,-1,3.03,10.17,10.13,6.80,2.38,NaN,NaN,NaN,NaN,NaN,NaN
16.66,0,-0.746,-1,3.03,10.18,10.09,6.81,2.39,NaN,NaN,NaN,NaN,NaN,NaN
16.76,0,-0.744,-1,3.03,10.20,10.09,6.77,2.35,NaN,NaN,NaN,NaN,NaN,NaN
16.87,0,-0.743,-1,3.02,10.20,10.06,6.73,2.25,NaN,NaN,NaN,NaN,NaN,NaN
16.96,0,-0.741,-1,3.00,10.17,10.01,6.64,2.17,NaN,NaN,NaN,NaN,NaN,NaN
17.07,0,-0.739,-1,2.99,10.10,9.97,6.63,2.17,NaN,NaN,NaN,NaN,NaN,NaN
17.17,0,-0.738,-1,2.98,10.11,9.99,6.65,2.18,NaN,NaN,NaN,NaN,NaN,NaN
17.27,0,-0.736,-1,2.97,10.13,10.00,6.58,2.18,NaN,NaN,NaN,NaN,NaN,NaN
17.35,0,-0.735,-1,2.95,10.08,9.91,6.56,2.16,NaN,NaN,NaN,NaN,NaN,NaN
17.42,0,-0.733,-1,2.92,9.84,9.86,6.47,2.16,NaN,NaN,NaN,NaN,NaN,NaN
17.51,0,-0.732,-1,2.88,9.60,9.85,6.25,2.11,NaN,NaN,NaN,NaN,NaN,NaN
17.62,0,-0.730,-1,2.86,9.18,9.72,6.12,2.05,NaN,NaN,NaN,NaN,NaN,NaN
17.72,0,-0.728,-1,2.85,8.82,9.59,5.96,2.00,NaN,NaN,NaN,NaN,NaN,NaN
17.80,0,-0.727,-1,2.83,8.54,9.35,5.82,1.98,NaN,NaN,NaN,NaN,NaN,NaN
17.90,0,-0.725,-1,2.71,7.73,8.87,5.65,2.18,NaN,NaN,NaN,NaN,NaN,NaN
18.00,0,-0.724,-1,2.68,7.71,8.62,5.70,2.44,NaN,NaN,NaN,NaN,NaN,NaN
18.09,0,-0.722,-1,2.70,7.76,8.57,5.87,2.84,NaN,NaN,NaN,NaN,NaN,NaN
18.18,0,-0.721,-1,2.70,7.81,8.44,5.85,3.16,NaN,NaN,NaN,NaN,NaN,NaN
18.28,0,-0.719,-1,2.71,7.83,8.44,5.77,3.38,NaN,NaN,NaN,NaN,NaN,NaN
18.35,0,-0.718,-1,2.71,7.85,8.36,5.77,3.59,NaN,NaN,NaN,NaN,NaN,NaN
18.42,0,-0.717,-1,2.71,7.88,8.28,5.81,3.56,NaN,NaN,NaN,NaN,NaN,NaN
18.50,0,-0.715,-1,2.65,7.79,8.30,5.77,3.37,NaN,NaN,NaN,NaN,NaN,NaN
18.60,0,-0.714,-1,2.45,7.74,8.28,5.54,3.03,NaN,NaN,NaN,NaN,NaN,NaN
18.70,0,-0.712,-1,2.42,7.55,8.13,5.49,2.93,NaN,NaN,NaN,NaN,NaN,NaN
18.77,0,-0.711,-1,2.40,7.53,8.04,5.54,2.96,NaN,NaN,NaN,NaN,NaN,NaN
18.87,0,-0.709,-1,2.38,7.50,7.72,5.38,2.82,NaN,NaN,NaN,NaN,NaN,NaN
18.98,0,-0.708,-1,2.26,7.48,7.82,5.33,2.68,NaN,NaN,NaN,NaN,NaN,NaN
19.05,0,-0.706,-1,2.10,7.49,8.04,5.34,2.60,NaN,NaN,NaN,NaN,NaN,NaN
19.15,0,-0.705,-1,1.99,7.52,8.80,5.73,2.60,NaN,NaN,NaN,NaN,NaN,NaN
19.25,0,-0.703,-1,1.97,7.69,8.99,5.62,2.69,NaN,NaN,NaN,NaN,NaN,NaN
19.36,0,-0.701,-1,1.97,7.68,9.01,5.05,2.76,NaN,NaN,NaN,NaN,NaN,NaN
19.47,0,-0.699,-1,1.93,7.53,8.89,4.76,2.75,NaN,NaN,NaN,NaN,NaN,NaN
19.57,0,-0.698,-1,1.59,7.15,8.68,4.58,2.59,NaN,NaN,NaN,NaN,NaN,NaN
19.65,0,-0.696,-1,1.44,7.16,8.68,4.53,2.46,NaN,NaN,NaN,NaN,NaN,NaN
19.75,0,-0.695,-1,1.68,7.16,8.68,4.41,2.28,NaN,NaN,NaN,NaN,NaN,NaN
19.82,0,-0.693,-1,1.66,7.19,8.69,4.51,2.28,NaN,NaN,NaN,NaN,NaN,NaN
19.92,0,-0.692,-1,1.65,7.14,8.83,4.59,2.17,NaN,NaN,NaN,NaN,NaN,NaN
20.01,0,-0.690,-1,1.64,7.05,8.84,4.50,2.03,NaN,NaN,NaN,NaN,NaN,NaN
20.11,0,-0.689,-1,1.62,7.04,8.85,4.48,1.94,NaN,NaN,NaN,NaN,NaN,NaN
20.22,0,-0.687,-1,1.60,7.08,9.28,4.52,1.83,NaN,NaN,NaN,NaN,NaN,NaN
20.32,0,-0.685,-1,1.57,7.10,9.30,4.54,1.77,NaN,NaN,NaN,NaN,NaN,NaN
20.40,0,-0.684,-1,1.56,7.11,9.29,4.56,1.77,NaN,NaN,NaN,NaN,NaN,NaN
20.50,0,-0.682,-1,1.56,7.12,9.29,4.58,1.80,NaN,NaN,NaN,NaN,NaN,NaN
20.61,0,-0.680,-1,1.57,7.13,9.29,4.60,1.81,NaN,NaN,NaN,NaN,NaN,NaN
20.68,0,-0.679,-1,1.57,7.10,9.29,4.57,1.81,NaN,NaN,NaN,NaN,NaN,NaN
20.75,0,-0.678,-1,1.57,7.07,9.28,4.59,1.82,NaN,NaN,NaN,NaN,NaN,NaN
20.82,0,-0.677,-1,1.57,7.10,9.28,4.58,1.83,NaN,NaN,NaN,NaN,NaN,NaN
20.93,0,-0.675,-1,1.57,7.11,9.28,4.52,1.82,NaN,NaN,NaN,NaN,NaN,NaN
21.01,0,-0.674,-1,1.57,7.11,9.28,4.54,1.79,NaN,NaN,NaN,NaN,NaN,NaN
21.11,0,-0.672,-1,1.56,7.12,9.28,4.55,1.76,NaN,NaN,NaN,NaN,NaN,NaN
21.22,0,-0.670,-1,1.57,7.13,9.17,4.50,1.69,NaN,NaN,NaN,NaN,NaN,NaN
21.32,0,-0.668,-1,1.56,7.12,9.08,4.40,1.61,NaN,NaN,NaN,NaN,NaN,NaN
21.43,0,-0.667,-1,1.55,7.13,9.08,4.42,1.60,NaN,NaN,NaN,NaN,NaN,NaN
21.53,0,-0.665,-1,1.56,7.13,9.08,4.44,1.59,NaN,NaN,NaN,NaN,NaN,NaN
21.64,0,-0.663,-1,1.55,7.14,9.08,4.45,1.60,NaN,NaN,NaN,NaN,NaN,NaN
21.71,0,-0.662,-1,1.56,7.14,9.08,4.45,1.56,NaN,NaN,NaN,NaN,NaN,NaN
21.81,0,-0.660,-1,1.39,6.07,8.03,3.69,1.28,NaN,NaN,NaN,NaN,NaN,NaN
21.92,0,-0.658,-1,0.88,4.01,4.84,1.44,0.62,NaN,NaN,NaN,NaN,NaN,NaN
22.02,0,-0.657,-1,0.18,0.74,1.16,0.06,0.98,NaN,NaN,NaN,NaN,NaN,NaN
22.13,0,-0.655,-1,0.89,0.04,0.51,0.52,0.34,NaN,NaN,NaN,NaN,NaN,NaN
22.23,0,-0.653,-1,0.73,0.35,0.73,0.34,0.24,NaN,NaN,NaN,NaN,NaN,NaN
22.33,0,-0.652,-1,1.44,1.18,0.23,0.09,0.26,NaN,NaN,NaN,NaN,NaN,NaN
22.41,0,-0.650,-1,2.45,1.65,0.09,1.44,1.44,NaN,NaN,NaN,NaN,NaN,NaN
22.51,0,-0.649,-1,2.55,0.10,1.60,2.33,3.00,NaN,NaN,NaN,NaN,NaN,NaN
22.60,0,-0.647,-1,2.74,0.08,4.16,6.34,6.00,NaN,NaN,NaN,NaN,NaN,NaN
22.70,0,-0.645,-1,0.90,0.14,6.00,6.71,4.92,NaN,NaN,NaN,NaN,NaN,NaN
