Time(s),Phase,Progress,WinnerIndex,Force_F0,Force_F1,Force_F2,Force_F3,Force_F4,Fatigue_F0,Fatigue_F1,Fatigue_F2,Fatigue_F3,Fatigue_F4,P3_Accuracy
0.18,0,-1.000,-1,0.20,0.03,0.02,0.03,0.03,NaN,NaN,NaN,NaN,NaN,NaN
0.25,0,-1.000,-1,0.20,0.04,0.03,0.03,0.02,NaN,NaN,NaN,NaN,NaN,NaN
0.36,0,-1.000,-1,0.20,0.04,0.02,0.03,0.02,NaN,NaN,NaN,NaN,NaN,NaN
0.45,0,-1.000,-1,0.19,0.04,0.02,0.03,0.03,NaN,NaN,NaN,NaN,NaN,NaN
0.52,0,-1.000,-1,0.19,0.04,0.02,0.03,0.02,NaN,NaN,NaN,NaN,NaN,NaN
0.62,0,-1.000,-1,0.20,0.04,0.02,0.03,0.03,NaN,NaN,NaN,NaN,NaN,NaN
0.73,0,-1.000,-1,0.20,0.05,0.02,0.03,0.02,NaN,NaN,NaN,NaN,NaN,NaN
0.84,0,-1.000,-1,0.20,0.05,0.03,0.03,0.02,NaN,NaN,NaN,NaN,NaN,NaN
0.93,0,-1.000,-1,0.20,0.04,0.02,0.03,0.02,NaN,NaN,NaN,NaN,NaN,NaN
1.01,0,-1.000,-1,0.21,0.03,0.02,0.03,0.02,NaN,NaN,NaN,NaN,NaN,NaN
1.09,0,-1.000,-1,0.20,0.05,0.02,0.03,0.01,NaN,NaN,NaN,NaN,NaN,NaN
1.20,0,-1.000,-1,0.20,0.05,0.02,0.03,0.01,NaN,NaN,NaN,NaN,NaN,NaN
1.28,0,-1.000,-1,0.19,0.04,0.02,0.03,0.01,NaN,NaN,NaN,NaN,NaN,NaN
1.35,0,-1.000,-1,0.19,0.05,0.02,0.03,0.01,NaN,NaN,NaN,NaN,NaN,NaN
1.44,0,-1.000,-1,0.19,0.04,0.02,0.03,0.01,NaN,NaN,NaN,NaN,NaN,NaN
1.53,0,-1.000,-1,0.20,0.05,0.02,0.03,0.02,NaN,NaN,NaN,NaN,NaN,NaN
1.63,0,-1.000,-1,0.19,0.05,0.02,0.03,0.01,NaN,NaN,NaN,NaN,NaN,NaN
1.72,0,-1.000,-1,0.19,0.05,0.01,0.03,0.02,NaN,NaN,NaN,NaN,NaN,NaN
1.82,0,-1.000,-1,0.21,0.04,0.02,0.03,0.01,NaN,NaN,NaN,NaN,NaN,NaN
1.90,0,-1.000,-1,0.20,0.04,0.02,0.03,0.01,NaN,NaN,NaN,NaN,NaN,NaN
1.99,0,-1.000,-1,0.20,0.04,0.02,0.03,0.01,NaN,NaN,NaN,NaN,NaN,NaN
2.07,0,-1.000,-1,0.20,0.04,0.02,0.03,0.02,NaN,NaN,NaN,NaN,NaN,NaN
2.16,0,-1.000,-1,0.20,0.03,0.02,0.03,0.01,NaN,NaN,NaN,NaN,NaN,NaN
2.26,0,-1.000,-1,0.20,0.04,0.02,0.03,0.02,NaN,NaN,NaN,NaN,NaN,NaN
2.35,0,-1.000,-1,0.20,0.04,0.02,0.03,0.01,NaN,NaN,NaN,NaN,NaN,NaN
2.43,0,-1.000,-1,0.20,0.04,0.02,0.03,0.02,NaN,NaN,NaN,NaN,NaN,NaN
2.50,0,-1.000,-1,0.21,0.04,0.02,0.03,0.01,NaN,NaN,NaN,NaN,NaN,NaN
2.58,0,-1.000,-1,0.21,0.04,0.02,0.03,0.01,NaN,NaN,NaN,NaN,NaN,NaN
2.67,0,-1.000,-1,0.04,0.14,0.04,0.05,0.01,NaN,NaN,NaN,NaN,NaN,NaN
2.77,0,-1.000,-1,0.13,0.13,0.02,0.05,0.01,NaN,NaN,NaN,NaN,NaN,NaN
2.87,0,-1.000,-1,0.15,0.04,0.07,0.04,0.02,NaN,NaN,NaN,NaN,NaN,NaN
2.94,0,-1.000,-1,0.12,0.24,0.19,0.06,0.03,NaN,NaN,NaN,NaN,NaN,NaN
3.04,0,-1.000,-1,0.14,0.06,0.13,0.03,0.03,NaN,NaN,NaN,NaN,NaN,NaN
3.12,0,-1.000,-1,0.15,0.14,0.06,0.02,0.05,NaN,NaN,NaN,NaN,NaN,NaN
3.21,0,-1.000,-1,0.14,0.13,0.11,0.07,0.06,NaN,NaN,NaN,NaN,NaN,NaN
3.31,0,-1.000,-1,0.13,0.12,0.14,0.12,0.08,NaN,NaN,NaN,NaN,NaN,NaN
3.40,0,-1.000,-1,0.14,0.10,0.13,0.12,0.09,NaN,NaN,NaN,NaN,NaN,NaN
3.49,0,-1.000,-1,0.15,0.80,0.13,0.09,0.06,NaN,NaN,NaN,NaN,NaN,NaN
3.57,0,-0.998,-1,0.14,2.15,0.13,0.09,0.06,NaN,NaN,NaN,NaN,NaN,NaN
3.65,0,-0.997,-1,0.14,7.55,0.12,0.08,0.02,NaN,NaN,NaN,NaN,NaN,NaN
3.72,0,-0.996,-1,0.13,9.53,0.11,0.08,0.00,NaN,NaN,NaN,NaN,NaN,NaN
3.81,0,-0.994,-1,0.13,9.53,0.12,0.07,0.00,NaN,NaN,NaN,NaN,NaN,NaN
3.90,0,-0.993,-1,0.13,7.87,0.11,0.07,0.01,NaN,NaN,NaN,NaN,NaN,NaN
3.98,0,-0.991,-1,0.13,1.37,0.12,0.07,0.01,NaN,NaN,NaN,NaN,NaN,NaN
4.07,0,-0.991,-1,0.14,0.24,0.11,0.06,0.04,NaN,NaN,NaN,NaN,NaN,NaN
4.17,0,-0.991,-1,0.13,0.22,0.12,0.07,0.03,NaN,NaN,NaN,NaN,NaN,NaN
4.25,0,-0.991,-1,0.13,0.11,0.12,0.08,0.04,NaN,NaN,NaN,NaN,NaN,NaN
4.36,0,-0.990,-1,0.14,0.04,1.14,0.07,0.06,NaN,NaN,NaN,NaN,NaN,NaN
4.44,0,-0.989,-1,0.14,0.05,2.22,0.08,0.06,NaN,NaN,NaN,NaN,NaN,NaN
4.52,0,-0.988,-1,0.13,0.05,3.82,0.08,0.06,NaN,NaN,NaN,NaN,NaN,NaN
4.59,0,-0.986,-1,0.14,0.05,4.39,0.08,0.06,NaN,NaN,NaN,NaN,NaN,NaN
4.67,0,-0.985,-1,0.13,0.04,4.99,0.08,0.06,NaN,NaN,NaN,NaN,NaN,NaN
4.75,0,-0.984,-1,0.13,0.05,5.43,0.07,0.06,NaN,NaN,NaN,NaN,NaN,NaN
4.85,0,-0.982,-1,0.14,0.06,5.33,0.07,0.06,NaN,NaN,NaN,NaN,NaN,NaN
4.93,0,-0.981,-1,0.13,0.06,5.60,0.07,0.05,NaN,NaN,NaN,NaN,NaN,NaN
5.02,0,-0.979,-1,0.13,0.06,5.10,0.07,0.06,NaN,NaN,NaN,NaN,NaN,NaN
