Time(s),Phase,Progress,WinnerIndex,Force_F0,Force_F1,Force_F2,Force_F3,Force_F4,Fatigue_F0,Fatigue_F1,Fatigue_F2,Fatigue_F3,Fatigue_F4,P3_Accuracy
0.16,0,-1.000,-1,0.30,0.04,0.11,0.09,0.01,NaN,NaN,NaN,NaN,NaN,NaN
0.24,0,-1.000,-1,0.04,0.05,0.06,0.09,0.00,NaN,NaN,NaN,NaN,NaN,NaN
0.35,0,-1.000,-1,0.01,0.01,0.05,0.01,0.17,NaN,NaN,NaN,NaN,NaN,NaN
0.46,0,-1.000,-1,0.06,0.00,0.04,0.01,0.17,NaN,NaN,NaN,NaN,NaN,NaN
0.55,0,-1.000,-1,0.12,0.02,0.02,0.01,0.09,NaN,NaN,NaN,NaN,NaN,NaN
0.62,0,-1.000,-1,0.12,0.01,0.01,0.02,0.08,NaN,NaN,NaN,NaN,NaN,NaN
0.73,0,-1.000,-1,0.01,0.00,0.02,0.04,0.05,NaN,NaN,NaN,NaN,NaN,NaN
0.82,0,-1.000,-1,0.19,0.00,0.04,0.05,0.05,NaN,NaN,NaN,NaN,NaN,NaN
0.92,0,-1.000,-1,0.13,0.00,0.01,0.04,0.04,NaN,NaN,NaN,NaN,NaN,NaN
1.01,0,-1.000,-1,0.11,0.02,0.03,0.00,0.07,NaN,NaN,NaN,NaN,NaN,NaN
1.12,0,-1.000,-1,0.02,0.03,0.05,0.01,0.22,NaN,NaN,NaN,NaN,NaN,NaN
1.22,0,-1.000,-1,0.01,0.04,0.04,0.01,0.20,NaN,NaN,NaN,NaN,NaN,NaN
1.32,0,-1.000,-1,0.03,0.03,0.00,0.01,0.19,NaN,NaN,NaN,NaN,NaN,NaN
1.56,0,-1.000,-1,0.02,0.01,0.10,0.01,0.05,NaN,NaN,NaN,NaN,NaN,NaN
1.64,0,-1.000,-1,0.01,0.11,0.21,0.02,0.16,NaN,NaN,NaN,NaN,NaN,NaN
1.73,0,-1.000,-1,0.01,0.06,0.04,0.02,0.17,NaN,NaN,NaN,NaN,NaN,NaN
1.82,0,-1.000,-1,0.01,0.03,0.01,0.00,0.11,NaN,NaN,NaN,NaN,NaN,NaN
1.93,0,-1.000,-1,0.02,0.02,0.00,0.01,0.08,NaN,NaN,NaN,NaN,NaN,NaN
2.02,0,-1.000,-1,0.02,0.01,0.01,0.01,0.07,NaN,NaN,NaN,NaN,NaN,NaN
2.11,0,-1.000,-1,0.02,0.01,0.04,0.00,0.06,NaN,NaN,NaN,NaN,NaN,NaN
2.20,0,-1.000,-1,0.01,0.01,0.10,0.04,0.04,NaN,NaN,NaN,NaN,NaN,NaN
2.30,0,-1.000,-1,0.01,0.02,0.14,0.06,0.02,NaN,NaN,NaN,NaN,NaN,NaN
2.37,0,-1.000,-1,0.02,0.02,0.11,0.05,0.03,NaN,NaN,NaN,NaN,NaN,NaN
2.48,0,-1.000,-1,0.01,0.02,0.01,0.02,0.06,NaN,NaN,NaN,NaN,NaN,NaN
2.55,0,-1.000,-1,0.01,0.02,0.06,0.01,0.06,NaN,NaN,NaN,NaN,NaN,NaN
2.66,0,-1.000,-1,0.04,0.01,0.07,0.06,0.06,NaN,NaN,NaN,NaN,NaN,NaN
2.74,0,-1.000,-1,0.04,0.02,0.11,0.10,0.07,NaN,NaN,NaN,NaN,NaN,NaN
2.84,0,-1.000,-1,0.02,0.02,0.11,0.10,0.07,NaN,NaN,NaN,NaN,NaN,NaN
2.91,0,-1.000,-1,0.02,0.01,0.10,0.12,0.05,NaN,NaN,NaN,NaN,NaN,NaN
3.01,0,-1.000,-1,0.02,0.01,0.10,0.12,0.06,NaN,NaN,NaN,NaN,NaN,NaN
3.09,0,-1.000,-1,0.02,0.01,0.14,0.13,0.05,NaN,NaN,NaN,NaN,NaN,NaN
3.17,0,-1.000,-1,0.02,0.01,0.13,0.12,0.04,NaN,NaN,NaN,NaN,NaN,NaN
3.25,0,-1.000,-1,0.03,0.02,0.17,0.08,0.06,NaN,NaN,NaN,NaN,NaN,NaN
3.34,0,-1.000,-1,0.02,0.02,0.20,0.12,0.07,NaN,NaN,NaN,NaN,NaN,NaN
3.44,0,-1.000,-1,0.04,0.01,0.22,0.14,0.02,NaN,NaN,NaN,NaN,NaN,NaN
3.56,0,-1.000,-1,0.03,0.02,0.23,0.19,0.01,NaN,NaN,NaN,NaN,NaN,NaN
3.63,0,-1.000,-1,0.03,0.01,0.21,0.23,0.04,NaN,NaN,NaN,NaN,NaN,NaN
3.74,0,-1.000,-1,0.03,0.02,0.26,0.23,0.00,NaN,NaN,NaN,NaN,NaN,NaN
3.84,0,-1.000,-1,0.05,0.00,0.16,0.27,0.08,NaN,NaN,NaN,NaN,NaN,NaN
3.91,0,-1.000,-1,0.01,0.01,0.13,0.41,0.27,NaN,NaN,NaN,NaN,NaN,NaN
4.02,0,-1.000,-1,0.06,0.06,0.14,0.39,0.08,NaN,NaN,NaN,NaN,NaN,NaN
4.09,0,-1.000,-1,0.03,0.05,0.29,0.30,0.02,NaN,NaN,NaN,NaN,NaN,NaN
4.19,0,-1.000,-1,0.03,0.04,0.15,0.14,0.06,NaN,NaN,NaN,NaN,NaN,NaN
4.27,0,-1.000,-1,0.02,0.04,0.07,0.02,0.19,NaN,NaN,NaN,NaN,NaN,NaN
4.37,0,-1.000,-1,0.04,0.00,0.05,0.00,0.15,NaN,NaN,NaN,NaN,NaN,NaN
4.45,0,-1.000,-1,0.01,0.03,0.07,0.01,0.18,NaN,NaN,NaN,NaN,NaN,NaN
4.56,0,-1.000,-1,0.03,0.03,0.03,0.06,0.08,NaN,NaN,NaN,NaN,NaN,NaN
4.66,0,-1.000,-1,0.13,0.03,0.00,0.04,0.12,NaN,NaN,NaN,NaN,NaN,NaN
4.76,0,-1.000,-1,0.12,0.05,0.04,0.02,0.18,NaN,NaN,NaN,NaN,NaN,NaN
4.85,0,-1.000,-1,0.02,0.04,0.14,0.04,0.15,NaN,NaN,NaN,NaN,NaN,NaN
4.93,0,-1.000,-1,0.00,0.03,0.13,0.05,0.15,NaN,NaN,NaN,NaN,NaN,NaN
5.02,0,-1.000,-1,0.06,0.04,0.11,0.04,0.15,NaN,NaN,NaN,NaN,NaN,NaN
5.09,0,-1.000,-1,0.07,0.04,0.14,0.05,0.13,NaN,NaN,NaN,NaN,NaN,NaN
5.17,0,-1.000,-1,0.06,0.04,0.14,0.06,0.12,NaN,NaN,NaN,NaN,NaN,NaN
5.25,0,-1.000,-1,0.02,0.04,0.12,0.06,0.14,NaN,NaN,NaN,NaN,NaN,NaN
5.36,0,-1.000,-1,0.00,0.04,0.11,0.04,0.17,NaN,NaN,NaN,NaN,NaN,NaN
5.43,0,-1.000,-1,0.18,0.04,0.12,0.04,0.18,NaN,NaN,NaN,NaN,NaN,NaN
5.54,0,-0.999,-1,2.77,0.04,0.31,0.11,0.11,NaN,NaN,NaN,NaN,NaN,NaN
5.63,0,-0.997,-1,2.79,0.04,0.18,0.09,0.10,NaN,NaN,NaN,NaN,NaN,NaN
5.72,0,-0.996,-1,1.13,0.04,0.06,0.01,0.25,NaN,NaN,NaN,NaN,NaN,NaN
5.82,0,-0.995,-1,0.11,0.01,0.04,0.01,0.16,NaN,NaN,NaN,NaN,NaN,NaN
5.89,0,-0.995,-1,0.03,0.01,0.09,0.04,0.11,NaN,NaN,NaN,NaN,NaN,NaN
5.97,0,-0.995,-1,0.01,0.03,0.08,0.06,0.10,NaN,NaN,NaN,NaN,NaN,NaN
6.07,0,-0.995,-1,0.22,0.05,0.16,0.13,0.07,NaN,NaN,NaN,NaN,NaN,NaN
6.14,0,-0.995,-1,0.31,0.05,0.11,0.17,0.08,NaN,NaN,NaN,NaN,NaN,NaN
6.22,0,-0.995,-1,2.53,0.03,0.27,0.22,0.01,NaN,NaN,NaN,NaN,NaN,NaN
6.30,0,-0.993,-1,1.61,0.03,0.21,0.20,0.07,NaN,NaN,NaN,NaN,NaN,NaN
6.38,0,-0.993,-1,0.06,0.03,0.11,0.12,0.12,NaN,NaN,NaN,NaN,NaN,NaN
6.46,0,-0.993,-1,0.01,0.19,0.05,0.07,0.12,NaN,NaN,NaN,NaN,NaN,NaN
6.57,0,-0.993,-1,0.02,1.03,0.14,0.09,0.14,NaN,NaN,NaN,NaN,NaN,NaN
6.65,0,-0.991,-1,0.04,2.56,0.11,0.05,0.14,NaN,NaN,NaN,NaN,NaN,NaN
6.74,0,-0.990,-1,0.02,0.34,0.01,0.19,0.09,NaN,NaN,NaN,NaN,NaN,NaN
6.81,0,-0.990,-1,0.03,0.24,0.03,0.12,0.09,NaN,NaN,NaN,NaN,NaN,NaN
6.89,0,-0.990,-1,0.04,0.04,0.06,0.10,0.09,NaN,NaN,NaN,NaN,NaN,NaN
6.96,0,-0.990,-1,0.03,0.11,0.06,0.17,0.06,NaN,NaN,NaN,NaN,NaN,NaN
7.06,0,-0.990,-1,0.21,1.62,0.21,0.13,0.06,NaN,NaN,NaN,NaN,NaN,NaN
7.15,0,-0.989,-1,0.07,3.54,0.15,0.06,0.12,NaN,NaN,NaN,NaN,NaN,NaN
7.23,0,-0.987,-1,0.00,0.46,0.07,0.19,0.05,NaN,NaN,NaN,NaN,NaN,NaN
7.31,0,-0.987,-1,0.01,0.26,0.10,0.20,0.00,NaN,NaN,NaN,NaN,NaN,NaN
7.41,0,-0.987,-1,0.03,0.01,0.06,0.16,0.03,NaN,NaN,NaN,NaN,NaN,NaN
7.48,0,-0.987,-1,0.04,0.06,0.03,0.20,0.03,NaN,NaN,NaN,NaN,NaN,NaN
7.58,0,-0.987,-1,0.04,0.17,1.54,0.26,0.07,NaN,NaN,NaN,NaN,NaN,NaN
