Time(s),Phase,Progress,WinnerIndex,Force_F0,Force_F1,Force_F2,Force_F3,Force_F4,Fatigue_F0,Fatigue_F1,Fatigue_F2,Fatigue_F3,Fatigue_F4,P3_Accuracy
0.14,0,-1.000,-1,0.06,0.06,0.29,0.17,0.26,NaN,NaN,NaN,NaN,NaN,NaN
0.22,0,-1.000,-1,0.06,0.09,0.15,0.03,0.07,NaN,NaN,NaN,NaN,NaN,NaN
0.31,0,-1.000,-1,0.06,0.17,0.11,0.13,0.12,NaN,NaN,NaN,NaN,NaN,NaN
0.38,0,-1.000,-1,0.04,0.19,0.01,0.06,0.16,NaN,NaN,NaN,NaN,NaN,NaN
0.47,0,-1.000,-1,0.05,0.19,0.06,0.01,0.08,NaN,NaN,NaN,NaN,NaN,NaN
0.54,0,-1.000,-1,0.06,0.15,0.12,0.01,0.12,NaN,NaN,NaN,NaN,NaN,NaN
0.63,0,-1.000,-1,0.06,0.32,0.53,0.05,0.13,NaN,NaN,NaN,NaN,NaN,NaN
0.73,0,-0.998,-1,0.05,0.27,1.56,0.43,0.10,NaN,NaN,NaN,NaN,NaN,NaN
0.81,0,-0.997,-1,0.04,0.14,1.61,0.31,0.11,NaN,NaN,NaN,NaN,NaN,NaN
0.90,0,-0.996,-1,0.05,0.01,0.18,0.09,0.09,NaN,NaN,NaN,NaN,NaN,NaN
0.99,0,-0.996,-1,0.06,0.08,0.25,0.03,0.10,NaN,NaN,NaN,NaN,NaN,NaN
1.08,0,-0.996,-1,0.05,0.12,0.19,0.11,0.12,NaN,NaN,NaN,NaN,NaN,NaN
1.17,0,-0.996,-1,0.06,0.06,0.06,0.05,0.11,NaN,NaN,NaN,NaN,NaN,NaN
1.25,0,-0.996,-1,0.06,0.02,0.24,0.02,0.16,NaN,NaN,NaN,NaN,NaN,NaN
1.34,0,-0.996,-1,0.06,0.01,0.17,0.02,0.15,NaN,NaN,NaN,NaN,NaN,NaN
1.41,0,-0.996,-1,0.05,0.15,1.10,0.04,0.19,NaN,NaN,NaN,NaN,NaN,NaN
1.49,0,-0.995,-1,0.04,0.23,1.48,0.34,0.14,NaN,NaN,NaN,NaN,NaN,NaN
1.58,0,-0.993,-1,0.06,0.17,2.45,0.34,0.19,NaN,NaN,NaN,NaN,NaN,NaN
1.67,0,-0.992,-1,0.05,0.13,2.52,0.27,0.22,NaN,NaN,NaN,NaN,NaN,NaN
1.75,0,-0.991,-1,0.06,0.14,2.70,0.26,0.31,NaN,NaN,NaN,NaN,NaN,NaN
1.83,0,-0.989,-1,0.06,0.13,2.97,0.31,0.21,NaN,NaN,NaN,NaN,NaN,NaN
1.91,0,-0.988,-1,0.06,0.17,3.42,0.32,0.30,NaN,NaN,NaN,NaN,NaN,NaN
1.99,0,-0.986,-1,0.05,0.21,5.08,0.49,0.34,NaN,NaN,NaN,NaN,NaN,NaN
2.07,0,-0.985,-1,0.05,0.29,6.48,0.61,0.45,NaN,NaN,NaN,NaN,NaN,NaN
2.15,0,-0.984,-1,0.06,0.28,7.33,0.44,0.47,NaN,NaN,NaN,NaN,NaN,NaN
2.24,0,-0.982,-1,0.06,0.22,8.03,0.18,0.49,NaN,NaN,NaN,NaN,NaN,NaN
2.31,0,-0.981,-1,0.06,0.24,7.97,0.11,0.53,NaN,NaN,NaN,NaN,NaN,NaN
2.40,0,-0.980,-1,0.05,0.21,7.87,0.09,0.50,NaN,NaN,NaN,NaN,NaN,NaN
2.48,0,-0.978,-1,0.06,0.19,8.48,0.16,0.51,NaN,NaN,NaN,NaN,NaN,NaN
2.56,0,-0.977,-1,0.06,0.19,8.56,0.02,0.55,NaN,NaN,NaN,NaN,NaN,NaN
2.64,0,-0.976,-1,0.06,0.21,8.78,0.06,0.54,NaN,NaN,NaN,NaN,NaN,NaN
2.72,0,-0.974,-1,0.06,0.19,7.92,0.09,0.42,NaN,NaN,NaN,NaN,NaN,NaN
2.80,0,-0.973,-1,0.06,0.27,8.42,0.00,0.39,NaN,NaN,NaN,NaN,NaN,NaN
2.88,0,-0.972,-1,0.05,0.24,8.49,0.04,0.46,NaN,NaN,NaN,NaN,NaN,NaN
2.96,0,-0.970,-1,0.05,0.21,6.95,0.06,0.38,NaN,NaN,NaN,NaN,NaN,NaN
3.04,0,-0.969,-1,0.04,0.21,6.39,0.06,0.42,NaN,NaN,NaN,NaN,NaN,NaN
3.12,0,-0.968,-1,0.05,0.20,6.08,0.04,0.41,NaN,NaN,NaN,NaN,NaN,NaN
