Time(s),Phase,Progress,WinnerIndex,Force_F0,Force_F1,Force_F2,Force_F3,Force_F4,Fatigue_F0,Fatigue_F1,Fatigue_F2,Fatigue_F3,Fatigue_F4,P3_Accuracy
0.09,0,-1.000,-1,0.12,0.05,0.02,0.03,0.00,NaN,NaN,NaN,NaN,NaN,NaN
0.18,0,-1.000,-1,0.07,0.03,0.02,0.02,0.01,NaN,NaN,NaN,NaN,NaN,NaN
0.26,0,-1.000,-1,0.08,0.03,0.03,0.02,0.02,NaN,NaN,NaN,NaN,NaN,NaN
0.33,0,-1.000,-1,0.10,0.05,0.03,0.02,0.01,NaN,NaN,NaN,NaN,NaN,NaN
0.41,0,-1.000,-1,0.09,0.02,0.03,0.04,0.01,NaN,NaN,NaN,NaN,NaN,NaN
0.49,0,-1.000,-1,0.12,0.03,0.04,0.03,0.03,NaN,NaN,NaN,NaN,NaN,NaN
0.56,0,-1.000,-1,0.21,0.00,0.06,0.02,0.03,NaN,NaN,NaN,NaN,NaN,NaN
0.63,0,-1.000,-1,0.17,0.01,0.06,0.03,0.02,NaN,NaN,NaN,NaN,NaN,NaN
0.71,0,-1.000,-1,0.15,0.01,0.08,0.01,0.03,NaN,NaN,NaN,NaN,NaN,NaN
0.81,0,-1.000,-1,0.02,0.00,0.10,0.04,0.04,NaN,NaN,NaN,NaN,NaN,NaN
0.88,0,-1.000,-1,0.01,0.03,0.11,0.02,0.04,NaN,NaN,NaN,NaN,NaN,NaN
0.96,0,-1.000,-1,0.01,0.00,0.12,0.03,0.10,NaN,NaN,NaN,NaN,NaN,NaN
1.03,0,-1.000,-1,0.00,0.02,0.10,0.02,0.09,NaN,NaN,NaN,NaN,NaN,NaN
1.11,0,-1.000,-1,0.13,0.01,0.12,0.03,0.02,NaN,NaN,NaN,NaN,NaN,NaN
1.21,0,-1.000,-1,0.57,0.01,0.05,0.13,0.12,NaN,NaN,NaN,NaN,NaN,NaN
1.29,0,-0.999,-1,2.56,0.12,0.44,0.21,0.16,NaN,NaN,NaN,NaN,NaN,NaN
1.37,0,-0.997,-1,3.04,0.24,0.67,0.45,0.44,NaN,NaN,NaN,NaN,NaN,NaN
1.45,0,-0.996,-1,3.28,0.10,0.39,0.36,0.33,NaN,NaN,NaN,NaN,NaN,NaN
1.54,0,-0.994,-1,2.93,1.13,2.63,0.87,1.05,NaN,NaN,NaN,NaN,NaN,NaN
1.62,0,-0.993,-1,2.44,1.62,4.55,2.53,1.36,NaN,NaN,NaN,NaN,NaN,NaN
1.71,0,-0.992,-1,0.31,0.19,1.21,0.65,0.82,NaN,NaN,NaN,NaN,NaN,NaN
1.79,0,-0.991,-1,0.03,0.02,0.27,0.31,0.41,NaN,NaN,NaN,NaN,NaN,NaN
1.87,0,-0.990,-1,0.67,0.03,0.06,0.44,0.25,NaN,NaN,NaN,NaN,NaN,NaN
1.95,0,-0.989,-1,2.75,0.76,1.47,1.55,1.48,NaN,NaN,NaN,NaN,NaN,NaN
2.04,0,-0.987,-1,3.00,1.72,2.50,0.99,0.79,NaN,NaN,NaN,NaN,NaN,NaN
2.13,0,-0.986,-1,1.62,0.13,0.44,0.59,0.52,NaN,NaN,NaN,NaN,NaN,NaN
2.21,0,-0.985,-1,0.04,0.03,0.08,0.25,0.04,NaN,NaN,NaN,NaN,NaN,NaN
2.28,0,-0.985,-1,1.23,0.21,0.27,0.06,0.12,NaN,NaN,NaN,NaN,NaN,NaN
2.36,0,-0.983,-1,2.72,1.06,1.55,0.65,1.45,NaN,NaN,NaN,NaN,NaN,NaN
2.45,0,-0.982,-1,3.14,2.01,3.56,2.36,1.36,NaN,NaN,NaN,NaN,NaN,NaN
2.53,0,-0.981,-1,3.22,1.85,3.72,2.66,1.65,NaN,NaN,NaN,NaN,NaN,NaN
2.62,0,-0.979,-1,0.08,0.18,0.52,0.81,0.70,NaN,NaN,NaN,NaN,NaN,NaN
2.70,0,-0.979,-1,0.04,0.06,0.11,0.11,0.18,NaN,NaN,NaN,NaN,NaN,NaN
2.78,0,-0.978,-1,2.47,0.59,1.22,0.69,0.35,NaN,NaN,NaN,NaN,NaN,NaN
