Time(s),Phase,Progress,WinnerIndex,Force_F0,Force_F1,Force_F2,Force_F3,Force_F4,Fatigue_F0,Fatigue_F1,Fatigue_F2,Fatigue_F3,Fatigue_F4,P3_Accuracy
0.19,0,-1.000,-1,0.19,0.07,0.15,0.16,0.16,NaN,NaN,NaN,NaN,NaN,NaN
0.36,0,-1.000,-1,0.19,0.05,0.16,0.16,0.14,NaN,NaN,NaN,NaN,NaN,NaN
0.43,0,-1.000,-1,0.20,0.04,0.16,0.16,0.14,NaN,NaN,NaN,NaN,NaN,NaN
0.51,0,-1.000,-1,0.22,0.03,0.16,0.16,0.15,NaN,NaN,NaN,NaN,NaN,NaN
0.62,0,-1.000,-1,0.20,0.04,0.16,0.17,0.15,NaN,NaN,NaN,NaN,NaN,NaN
0.70,0,-1.000,-1,0.20,0.03,0.15,0.17,0.15,NaN,NaN,NaN,NaN,NaN,NaN
0.78,0,-1.000,-1,0.19,0.02,0.19,0.18,0.16,NaN,NaN,NaN,NaN,NaN,NaN
0.86,0,-1.000,-1,0.16,0.01,0.17,0.18,0.16,NaN,NaN,NaN,NaN,NaN,NaN
0.94,0,-1.000,-1,0.15,0.01,0.19,0.19,0.17,NaN,NaN,NaN,NaN,NaN,NaN
1.05,0,-1.000,-1,0.12,0.01,0.19,0.21,0.18,NaN,NaN,NaN,NaN,NaN,NaN
1.12,0,-1.000,-1,0.16,0.03,0.19,0.22,0.19,NaN,NaN,NaN,NaN,NaN,NaN
1.20,0,-1.000,-1,0.14,0.04,0.21,0.23,0.20,NaN,NaN,NaN,NaN,NaN,NaN
1.27,0,-1.000,-1,0.10,0.04,0.21,0.24,0.19,NaN,NaN,NaN,NaN,NaN,NaN
1.38,0,-1.000,-1,0.14,0.04,0.19,0.21,0.19,NaN,NaN,NaN,NaN,NaN,NaN
1.48,0,-1.000,-1,0.17,0.03,0.19,0.19,0.19,NaN,NaN,NaN,NaN,NaN,NaN
1.57,0,-1.000,-1,0.19,0.03,0.19,0.18,0.18,NaN,NaN,NaN,NaN,NaN,NaN
1.64,0,-1.000,-1,0.21,0.02,0.18,0.18,0.17,NaN,NaN,NaN,NaN,NaN,NaN
1.72,0,-1.000,-1,0.19,0.01,0.18,0.18,0.16,NaN,NaN,NaN,NaN,NaN,NaN
1.82,0,-1.000,-1,0.19,0.00,0.18,0.18,0.17,NaN,NaN,NaN,NaN,NaN,NaN
1.89,0,-1.000,-1,0.19,0.01,0.18,0.18,0.16,NaN,NaN,NaN,NaN,NaN,NaN
1.97,0,-1.000,-1,0.15,0.01,0.18,0.18,0.17,NaN,NaN,NaN,NaN,NaN,NaN
2.04,0,-1.000,-1,0.15,0.00,0.18,0.19,0.18,NaN,NaN,NaN,NaN,NaN,NaN
2.13,0,-1.000,-1,0.14,0.02,0.17,0.19,0.19,NaN,NaN,NaN,NaN,NaN,NaN
2.20,0,-1.000,-1,0.14,0.00,0.17,0.19,0.19,NaN,NaN,NaN,NaN,NaN,NaN
2.29,0,-1.000,-1,0.16,0.01,0.18,0.19,0.20,NaN,NaN,NaN,NaN,NaN,NaN
2.39,0,-1.000,-1,0.14,0.02,0.18,0.19,0.19,NaN,NaN,NaN,NaN,NaN,NaN
2.50,0,-1.000,-1,0.15,0.00,0.16,0.19,0.19,NaN,NaN,NaN,NaN,NaN,NaN
2.58,0,-1.000,-1,0.12,0.01,0.16,0.18,0.19,NaN,NaN,NaN,NaN,NaN,NaN
