Time(s),Phase,Progress,WinnerIndex,Force_F0,Force_F1,Force_F2,Force_F3,Force_F4,Fatigue_F0,Fatigue_F1,Fatigue_F2,Fatigue_F3,Fatigue_F4,P3_Accuracy
0.12,0,-1.000,-1,0.02,0.09,0.05,0.00,0.15,NaN,NaN,NaN,NaN,NaN,NaN
0.20,0,-1.000,-1,0.02,0.11,0.03,0.03,0.16,NaN,NaN,NaN,NaN,NaN,NaN
0.30,0,-1.000,-1,0.02,0.11,0.04,0.03,0.16,NaN,NaN,NaN,NaN,NaN,NaN
0.39,0,-1.000,-1,0.13,0.10,0.02,0.01,0.15,NaN,NaN,NaN,NaN,NaN,NaN
0.48,0,-1.000,-1,0.06,0.13,0.02,0.00,0.16,NaN,NaN,NaN,NaN,NaN,NaN
0.57,0,-1.000,-1,0.03,0.08,0.03,0.22,0.15,NaN,NaN,NaN,NaN,NaN,NaN
0.65,0,-1.000,-1,0.02,0.06,0.04,0.21,0.15,NaN,NaN,NaN,NaN,NaN,NaN
0.72,0,-1.000,-1,0.06,0.09,0.02,0.04,0.15,NaN,NaN,NaN,NaN,NaN,NaN
0.81,0,-1.000,-1,0.10,0.01,0.02,0.03,0.15,NaN,NaN,NaN,NaN,NaN,NaN
0.91,0,-1.000,-1,0.09,0.08,0.00,0.02,0.15,NaN,NaN,NaN,NaN,NaN,NaN
1.00,0,-1.000,-1,0.08,0.11,0.01,0.02,0.10,NaN,NaN,NaN,NaN,NaN,NaN
1.09,0,-1.000,-1,0.09,0.10,0.01,0.10,0.06,NaN,NaN,NaN,NaN,NaN,NaN
1.19,0,-1.000,-1,0.06,0.11,0.01,0.11,0.01,NaN,NaN,NaN,NaN,NaN,NaN
1.28,0,-1.000,-1,0.17,0.10,0.01,0.06,0.06,NaN,NaN,NaN,NaN,NaN,NaN
1.35,0,-1.000,-1,0.24,0.11,0.01,0.03,0.07,NaN,NaN,NaN,NaN,NaN,NaN
1.45,0,-1.000,-1,0.10,0.11,0.03,0.07,0.08,NaN,NaN,NaN,NaN,NaN,NaN
1.54,0,-1.000,-1,0.12,0.11,0.19,0.13,0.09,NaN,NaN,NaN,NaN,NaN,NaN
1.61,0,-1.000,-1,0.27,0.11,0.19,0.19,0.08,NaN,NaN,NaN,NaN,NaN,NaN
1.68,0,-1.000,-1,0.31,0.03,0.19,0.18,0.08,NaN,NaN,NaN,NaN,NaN,NaN
1.75,0,-1.000,-1,0.28,0.05,0.06,0.17,0.07,NaN,NaN,NaN,NaN,NaN,NaN
1.85,0,-1.000,-1,0.03,0.01,0.00,0.09,0.09,NaN,NaN,NaN,NaN,NaN,NaN
1.94,0,-1.000,-1,0.22,0.05,0.07,0.08,0.08,NaN,NaN,NaN,NaN,NaN,NaN
2.04,0,-0.999,-1,0.56,0.01,0.04,0.08,0.08,NaN,NaN,NaN,NaN,NaN,NaN
2.13,0,-0.998,-1,0.17,0.14,0.05,0.09,0.10,NaN,NaN,NaN,NaN,NaN,NaN
2.22,0,-0.998,-1,2.20,1.00,0.19,0.46,0.16,NaN,NaN,NaN,NaN,NaN,NaN
2.32,0,-0.996,-1,2.60,2.47,1.49,0.50,0.66,NaN,NaN,NaN,NaN,NaN,NaN
2.39,0,-0.995,-1,2.97,3.32,2.61,1.35,0.94,NaN,NaN,NaN,NaN,NaN,NaN
2.46,0,-0.994,-1,3.11,3.20,3.85,2.93,0.97,NaN,NaN,NaN,NaN,NaN,NaN
2.54,0,-0.992,-1,3.12,2.68,4.66,4.24,1.69,NaN,NaN,NaN,NaN,NaN,NaN
2.61,0,-0.991,-1,3.10,2.37,4.60,4.17,1.96,NaN,NaN,NaN,NaN,NaN,NaN
2.68,0,-0.990,-1,2.98,1.66,3.60,3.42,1.56,NaN,NaN,NaN,NaN,NaN,NaN
2.78,0,-0.988,-1,2.51,0.49,2.74,2.49,0.84,NaN,NaN,NaN,NaN,NaN,NaN
2.87,0,-0.987,-1,1.93,0.02,0.41,0.53,0.33,NaN,NaN,NaN,NaN,NaN,NaN
2.97,0,-0.985,-1,0.59,0.33,0.19,0.11,0.02,NaN,NaN,NaN,NaN,NaN,NaN
3.06,0,-0.985,-1,0.13,0.08,0.09,0.15,0.13,NaN,NaN,NaN,NaN,NaN,NaN
3.13,0,-0.985,-1,0.03,0.06,0.09,0.12,0.12,NaN,NaN,NaN,NaN,NaN,NaN
3.21,0,-0.985,-1,0.04,0.10,0.13,0.03,0.06,NaN,NaN,NaN,NaN,NaN,NaN
3.28,0,-0.985,-1,0.08,0.02,0.18,0.02,0.08,NaN,NaN,NaN,NaN,NaN,NaN
3.35,0,-0.985,-1,0.12,0.12,0.15,0.16,0.14,NaN,NaN,NaN,NaN,NaN,NaN
3.43,0,-0.985,-1,0.06,0.09,0.06,0.02,0.09,NaN,NaN,NaN,NaN,NaN,NaN
3.52,0,-0.985,-1,0.08,0.09,0.05,0.06,0.08,NaN,NaN,NaN,NaN,NaN,NaN
3.61,0,-0.985,-1,0.07,0.06,0.06,0.01,0.11,NaN,NaN,NaN,NaN,NaN,NaN
3.68,0,-0.985,-1,0.06,0.12,0.07,0.06,0.13,NaN,NaN,NaN,NaN,NaN,NaN
3.76,0,-0.985,-1,0.05,0.19,0.06,0.08,0.28,NaN,NaN,NaN,NaN,NaN,NaN
3.85,0,-0.984,-1,0.04,0.17,0.06,0.26,0.70,NaN,NaN,NaN,NaN,NaN,NaN
3.95,0,-0.982,-1,0.14,0.15,0.06,0.23,2.53,NaN,NaN,NaN,NaN,NaN,NaN
4.04,0,-0.981,-1,0.34,0.15,0.06,0.39,2.82,NaN,NaN,NaN,NaN,NaN,NaN
4.13,0,-0.979,-1,0.19,0.14,0.06,0.56,3.22,NaN,NaN,NaN,NaN,NaN,NaN
4.23,0,-0.977,-1,0.14,0.13,0.06,0.41,3.30,NaN,NaN,NaN,NaN,NaN,NaN
4.32,0,-0.976,-1,0.38,0.14,0.06,0.44,4.63,NaN,NaN,NaN,NaN,NaN,NaN
4.39,0,-0.975,-1,0.48,0.13,0.06,0.26,6.18,NaN,NaN,NaN,NaN,NaN,NaN
4.49,0,-0.973,-1,0.76,0.13,0.06,0.28,6.81,NaN,NaN,NaN,NaN,NaN,NaN
4.58,0,-0.972,-1,0.16,0.14,0.06,0.02,6.13,NaN,NaN,NaN,NaN,NaN,NaN
4.67,0,-0.970,-1,0.03,0.14,0.06,0.02,5.93,NaN,NaN,NaN,NaN,NaN,NaN
4.77,0,-0.968,-1,0.06,0.13,0.05,0.10,5.37,NaN,NaN,NaN,NaN,NaN,NaN
4.86,0,-0.967,-1,0.07,0.13,0.05,0.13,4.27,NaN,NaN,NaN,NaN,NaN,NaN
4.95,0,-0.965,-1,0.01,0.13,0.05,0.09,2.00,NaN,NaN,NaN,NaN,NaN,NaN
5.04,0,-0.964,-1,0.00,0.12,0.05,0.06,1.41,NaN,NaN,NaN,NaN,NaN,NaN
5.11,0,-0.963,-1,0.02,0.13,0.05,0.06,1.98,NaN,NaN,NaN,NaN,NaN,NaN
5.21,0,-0.961,-1,0.04,0.12,0.04,0.05,3.58,NaN,NaN,NaN,NaN,NaN,NaN
5.30,0,-0.960,-1,0.06,0.13,0.06,0.04,4.40,NaN,NaN,NaN,NaN,NaN,NaN
5.40,0,-0.958,-1,0.06,0.13,0.05,0.00,6.53,NaN,NaN,NaN,NaN,NaN,NaN
5.49,0,-0.956,-1,0.06,0.13,0.05,0.02,5.36,NaN,NaN,NaN,NaN,NaN,NaN
5.56,0,-0.955,-1,0.03,0.12,0.05,0.03,1.89,NaN,NaN,NaN,NaN,NaN,NaN
5.63,0,-0.954,-1,0.03,0.12,0.06,0.01,0.05,NaN,NaN,NaN,NaN,NaN,NaN
5.71,0,-0.954,-1,0.04,0.13,0.05,0.03,0.06,NaN,NaN,NaN,NaN,NaN,NaN
5.78,0,-0.954,-1,0.04,0.12,0.05,0.03,0.15,NaN,NaN,NaN,NaN,NaN,NaN
