Time(s),Phase,Progress,WinnerIndex,Force_F0,Force_F1,Force_F2,Force_F3,Force_F4,Fatigue_F0,Fatigue_F1,Fatigue_F2,Fatigue_F3,Fatigue_F4,P3_Accuracy
0.16,0,-1.000,-1,0.02,0.01,0.02,0.03,0.01,NaN,NaN,NaN,NaN,NaN,NaN
0.28,0,-1.000,-1,0.02,0.00,0.01,0.02,0.01,NaN,NaN,NaN,NaN,NaN,NaN
0.39,0,-1.000,-1,0.01,0.00,0.02,0.06,0.04,NaN,NaN,NaN,NaN,NaN,NaN
0.47,0,-1.000,-1,0.05,0.01,0.01,0.15,0.11,NaN,NaN,NaN,NaN,NaN,NaN
0.54,0,-1.000,-1,0.15,0.02,0.06,0.19,0.03,NaN,NaN,NaN,NaN,NaN,NaN
0.62,0,-1.000,-1,0.20,0.00,0.05,0.19,0.05,NaN,NaN,NaN,NaN,NaN,NaN
0.69,0,-1.000,-1,0.19,0.01,0.04,0.18,0.09,NaN,NaN,NaN,NaN,NaN,NaN
0.79,0,-1.000,-1,0.20,0.02,0.03,0.18,0.05,NaN,NaN,NaN,NaN,NaN,NaN
0.86,0,-1.000,-1,0.20,0.02,0.04,0.16,0.04,NaN,NaN,NaN,NaN,NaN,NaN
0.93,0,-1.000,-1,0.26,0.02,0.05,0.15,0.11,NaN,NaN,NaN,NaN,NaN,NaN
1.01,0,-1.000,-1,0.30,0.02,0.04,0.17,0.14,NaN,NaN,NaN,NaN,NaN,NaN
1.11,0,-1.000,-1,0.32,0.01,0.04,0.19,0.17,NaN,NaN,NaN,NaN,NaN,NaN
1.19,0,-1.000,-1,0.34,0.01,0.04,0.20,0.14,NaN,NaN,NaN,NaN,NaN,NaN
1.29,0,-1.000,-1,0.43,0.05,0.01,0.22,0.12,NaN,NaN,NaN,NaN,NaN,NaN
1.37,0,-1.000,-1,0.51,0.05,0.00,0.21,0.10,NaN,NaN,NaN,NaN,NaN,NaN
1.45,0,-0.999,-1,0.71,0.05,0.00,0.21,0.09,NaN,NaN,NaN,NaN,NaN,NaN
1.55,0,-0.997,-1,0.80,0.06,0.02,0.20,0.07,NaN,NaN,NaN,NaN,NaN,NaN
